feature,coef,impact
хан,6.039871141524127,positive
т ,5.252754483211947,positive
аев,5.225445648796672,positive
гас,5.093919073913121,positive
иев,4.99736605036538,positive
дин,4.864164574971612,positive
ае,4.838850331000587,positive
ами,4.663640846265683,positive
ат ,4.489690331181213,positive
али,4.466885487083101,positive
аг,4.45488787438385,positive
 ом,4.453984072226084,positive
мед,4.44166220438446,positive
еко,4.410755040837131,positive
ие,4.040231113826651,positive
оме,4.00902690679207,positive
гом,4.007496370966646,positive
аб,3.8612822251397216,positive
су,3.791045492004539,positive
ят ,3.786949646478924,positive
дов,3.766856887089945,positive
иб,3.7334129803906997,positive
гад,3.648681715242745,positive
сул,3.627544092411049,positive
аго,3.62013581836277,positive
дж,3.6190659031530745,positive
аро,3.6154822904823027,positive
ма,3.6066103397673444,positive
ула,3.600159367407575,positive
му,3.494690988023765,positive
ом,3.486046828268052,positive
ият,3.4746211168355012,positive
ва ,3.4692106801216753,positive
ило,3.4202954144475424,positive
ази,3.3680164421044765,positive
асу,3.363267012997656,positive
зан,3.3390677348922995,positive
ьяс,3.273158461040491,positive
в з,3.223463617190499,positive
маг,3.1820024841170116,positive
ов,3.1677620444204595,positive
осм,3.1572440644509387,positive
лие,3.1507950282397204,positive
ам,3.0889641609088,positive
бек,3.071539748073631,positive
 за,3.039039418904929,positive
 ис,3.032354965556583,positive
ака,3.024393855793401,positive
мус,3.0029178693500898,positive
урб,2.9139063272766164,positive
джи,2.9079684799091905,positive
ме,2.904803330940427,positive
уд,2.9032512857552217,positive
ших,2.8824861466608644,positive
лла,2.834370535541595,positive
из,2.8148928987493167,positive
маз,2.8116431647906213,positive
уди,2.7814810247993345,positive
кер,2.7733953917548906,positive
 ш,2.7579427155640235,positive
идр,2.744162357810294,positive
ас,2.698442234404483,positive
яс,2.6953630614197803,positive
бду,2.6609711707656776,positive
сма,2.6320815865663953,positive
ома,2.6316822125021475,positive
аж,2.631453922634782,positive
бег,2.613014284050386,positive
ул,2.596370199444496,positive
за,2.5826601389257196,positive
гам,2.5544639684403414,positive
уев,2.5461879411473536,positive
в ,2.54496891088299,positive
има,2.536679772550312,positive
ано,2.529265910294224,positive
а ш,2.514559996612525,positive
сен,2.498010678278175,positive
 зу,2.475746690047478,positive
аги,2.463188413652957,positive
ирз,2.4468302911068016,positive
 дж,2.4432819913494686,positive
шах,2.439308673139689,positive
адж,2.4301735196346943,positive
 ка,2.4282173992710328,positive
бан,2.4177494248602396,positive
 му,2.4003948639222883,positive
сае,2.37356476267835,positive
гю,2.361839722655461,positive
га,2.357137053165529,positive
дир,2.3541847750106646,positive
ати,2.3407368205216756,positive
ере,2.3333793926333435,positive
уе,2.305937458877829,positive
лик,2.303722707794579,positive
 са,2.302132483478411,positive
ад,2.289438027841644,positive
бов,2.285374188983465,positive
ят,2.2802988610113664,positive
зва,2.2753554897979194,positive
джа,2.2735881915996003,positive
маи,2.2728722498439162,positive
в г,2.263918027957074,positive
усе,2.2553358108622135,positive
йн,2.23587858426285,positive
ру,2.235186752653551,positive
юсу,2.2333507833856343,positive
кур,2.2320535316308296,positive
ср,2.2299311125256898,positive
 з,2.2242830102462854,positive
хал,2.2229642721413487,positive
пат,2.2130119190932582,positive
ум,2.2064902574129674,positive
аса,2.2057648100436738,positive
ада,2.205316731360965,positive
гюл,2.1994490788204675,positive
жа,2.1897001215048704,positive
ап,2.1864121693167458,positive
нав,2.186188862838181,positive
ова,2.1778440982590928,positive
ейн,2.174632365465433,positive
саи,2.162205831191757,positive
гус,2.1586494622546715,positive
арс,2.154126683023553,positive
сир,2.1528800811914133,positive
ди,2.152050844639849,positive
рсл,2.1410359600897033,positive
изв,2.127541468965496,positive
нар,2.1223070292780473,positive
ги,2.111985218533279,positive
рб,2.1112610482206735,positive
лам,2.109834848424477,positive
ева,2.104794779275238,positive
 ша,2.098521581961138,positive
каи,2.077853966000039,positive
в л,2.076488325425142,positive
йг,2.068119265403785,positive
утд,2.044946368150073,positive
ям ,2.0355441210096537,positive
ке,2.0301967070001035,positive
иял,2.029635571770399,positive
ибе,2.0270224022084333,positive
мае,2.0249123099714166,positive
гир,2.0228613156391853,positive
риз,2.0202114285734494,positive
би,2.0170206082571203,positive
 гю,2.0162262111510003,positive
ьяе,2.014810200920073,positive
ус,2.0008815344039417,positive
 им,1.9924865479377385,positive
ов ,1.9877754564855898,positive
лта,1.9873860789778452,positive
рба,1.9865377133816864,positive
хб,1.9847372432951123,positive
гим,1.9757865627068592,positive
амм,1.9757853804622385,positive
лей,1.967468339773355,positive
 на,1.9634363262352301,positive
ат,1.951856945106313,positive
суп,1.9425470559129,positive
 ба,1.9184204832566385,positive
апи,1.9129165915075137,positive
айг,1.907386281155192,positive
ута,1.906611071719929,positive
ад ,1.9025171163915096,positive
 ч,1.9003124709479806,positive
ажу,1.886117239679927,positive
ясо,1.8848188686738507,positive
гер,1.8837896264737537,positive
рха,1.8821748672764784,positive
аз,1.8799777803517745,positive
ут,1.878764610054205,positive
аи,1.8729588176267138,positive
жаб,1.8708945267492008,positive
йно,1.8550965316041539,positive
еми,1.847148932308878,positive
ид,1.8398644655445755,positive
жи,1.8343786282789731,positive
хиз,1.8340794718723143,positive
алх,1.8333501301517778,positive
ахб,1.8274684120161804,positive
ало,1.8175671181750006,positive
в н,1.8090623068108196,positive
бол,1.8089654292903143,positive
рз,1.8079057803471956,positive
аву,1.8034190924173523,positive
диб,1.8031949808263852,positive
хме,1.7999034670519514,positive
 ку,1.7987709483312853,positive
сал,1.7967080566418079,positive
уп,1.7907203246611336,positive
ев ,1.7879994923259412,positive
 ра,1.7828886916939937,positive
хач,1.7824989841553713,positive
таг,1.7811805093180253,positive
ба,1.7780624366641797,positive
ум ,1.7716320399084882,positive
рту,1.7597135383748492,positive
гит,1.75896691881756,positive
лат,1.7503200293862022,positive
аир,1.7386230554275524,positive
ши,1.7379249040520182,positive
зое,1.7335480444375493,positive
бад,1.7125365391447707,positive
жие,1.7105737188281847,positive
ур,1.7080854159282073,positive
ир,1.702273503008541,positive
бе,1.7016663772394756,positive
мин,1.7014094068863048,positive
шам,1.699124978701722,positive
аид,1.6983020302926386,positive
мза,1.6886587641312114,positive
бак,1.6867991081781286,positive
мил,1.6846616382183133,positive
дри,1.682451201372372,positive
рад,1.6804478881191265,positive
юс,1.6796568980728475,positive
тае,1.6765591485489009,positive
вуд,1.6622207838270853,positive
аба,1.6621436629988626,positive
рим,1.6522367012518135,positive
раг,1.6508363286349705,positive
 аб,1.647844162275863,positive
хта,1.6422387028290628,positive
 ид,1.6393197207154717,positive
зал,1.6389658570764425,positive
зу,1.6384059933454338,positive
нап,1.6301975174129566,positive
 ам,1.6297439614095803,positive
мал,1.6257847803592704,positive
йла,1.6187720274252675,positive
дур,1.6163570476803004,positive
ну,1.6158865237716507,positive
дул,1.6130406873858343,positive
 ме,1.6090399428660127,positive
хба,1.6076278886277824,positive
хов,1.6062479597815815,positive
лае,1.6011015821821641,positive
фик,1.594508304627095,positive
ед,1.5899129776171326,positive
ала,1.5546853079232879,positive
да,1.5544241783105552,positive
рс,1.5490262949149027,positive
зв,1.5442646948315668,positive
ити,1.537677176112736,positive
ай,1.5372282736286302,positive
изр,1.5362310813976372,positive
яхь,1.5357866889279876,positive
либ,1.5337605576797797,positive
хья,1.5286835420425637,positive
ьям,1.5284249013504814,positive
д ,1.5262112424118053,positive
рип,1.5134417270362968,positive
идо,1.5099105799827057,positive
