File,Best Threshold,Precision,Recall,F1,Confusion Matrix,Feature,Training Time (m)
BalancedData_50000.csv,0.697,0.988,0.95,0.969,"[[11342   596]
 [  138  9862]]",11061,0.029
BalancedData_100000.csv,0.721,0.976,0.951,0.963,"[[11347   590]
 [  275 19726]]",12091,0.04
BalancedData_200000.csv,0.754,0.961,0.95,0.956,"[[11342   595]
 [  458 39543]]",13276,0.072
BalancedData_500000.csv,0.796,0.921,0.95,0.935,"[[11341   596]
 [  974 99027]]",15264,0.166
BalancedData_1000000.csv,0.829,0.878,0.95,0.912,"[[ 11341    596]
 [  1583 198418]]",17039,0.334
BalancedData_3000000.csv,0.852,0.746,0.95,0.836,"[[ 11341    596]
 [  3852 596149]]",20235,1.332
