File,Best Threshold,Precision,Recall,F1,Confusion Matrix,Feature,Training Time (m)
BalancedData_50000.csv,0.687,0.985,0.95,0.967,"[[10328   541]
 [  161  9839]]",10971,0.028
BalancedData_100000.csv,0.727,0.972,0.95,0.961,"[[10329   540]
 [  300 19700]]",11950,0.039
BalancedData_200000.csv,0.756,0.953,0.95,0.951,"[[10326   543]
 [  513 39487]]",13217,0.068
BalancedData_500000.csv,0.778,0.903,0.95,0.926,"[[10326   543]
 [ 1104 98896]]",15245,0.156
BalancedData_1000000.csv,0.82,0.845,0.95,0.894,"[[ 10327    542]
 [  1900 198100]]",16994,0.326
BalancedData_3000000.csv,0.837,0.684,0.95,0.795,"[[ 10326    543]
 [  4780 595220]]",20236,1.47
