feature,coef,impact
т ,4.394295721563744,positive
аг,3.9831428689513615,positive
иев,3.88245626480943,positive
хан,3.6643449301947566,positive
ие,3.660293205811893,positive
аев,3.645399328965989,positive
ма,3.5879489401850044,positive
ае,3.524291893369918,positive
дин,3.466103605248728,positive
аб,3.4300974822172203,positive
али,3.417630706601616,positive
ат ,3.3574545724028226,positive
мед,3.3368785335066398,positive
ами,3.228092324055259,positive
дж,3.12259115951729,positive
му,3.104422369931184,positive
су,3.075591851497295,positive
ам,3.0370270995243933,positive
дов,3.0141543519271217,positive
ул,2.8210373368779247,positive
гом,2.8193345360263553,positive
иб,2.7856845279281117,positive
аго,2.7676380855012255,positive
еко,2.752685687823539,positive
оме,2.7449685094660836,positive
маг,2.73355861303502,positive
за,2.727192177094086,positive
гас,2.7113006610621704,positive
ом,2.6006223761637957,positive
аро,2.5700235249603125,positive
бек,2.4628538663276203,positive
сул,2.452681269826102,positive
ме,2.4324581101942537,positive
ва ,2.412654858685392,positive
ула,2.4010148363135477,positive
ят ,2.380776245977969,positive
лие,2.3711528167617004,positive
гад,2.361043120089218,positive
га,2.3147338957052335,positive
ов,2.313976476880131,positive
в ,2.232085502770178,positive
ият,2.2034384091824646,positive
джи,2.188580785161299,positive
 ом,2.1520824233998685,positive
ило,2.135853527000919,positive
 за,2.132035167835501,positive
уд,2.1214398252315765,positive
ба,2.120972807329601,positive
 ис,2.1139293289266208,positive
жа,2.1046485715001384,positive
 ш,2.090826854812575,positive
ед,2.0540071126490917,positive
 са,2.0445879290979296,positive
адж,2.040113298066433,positive
ус,2.0015303165977283,positive
 з,1.9962915870942215,positive
сма,1.9928152420440637,positive
 му,1.9447635337564264,positive
аги,1.9372130356295463,positive
уди,1.9273000511029186,positive
жи,1.8999497279929987,positive
ша,1.8917277392175655,positive
джа,1.880635190320115,positive
ур,1.8781949636776862,positive
из,1.8763977568825159,positive
ят,1.8724973128781068,positive
ас,1.8647892954899663,positive
асу,1.8607616055906187,positive
ано,1.8148759176851992,positive
ака,1.8058973029819985,positive
бан,1.7973221911036952,positive
в з,1.7811155922215716,positive
