feature,coef,impact
хан,4.963075944749575,positive
т ,4.60511928512704,positive
аев,4.481012609695249,positive
иев,4.312090697275884,positive
дин,4.222530750440624,positive
ае,4.21918606225977,positive
аг,4.127801321410157,positive
ами,3.978848588123053,positive
али,3.9687537266403523,positive
ат ,3.8652158709583864,positive
гас,3.8358714893621513,positive
ие,3.831005278649026,positive
мед,3.7446622951118713,positive
еко,3.482305598632242,positive
ма,3.4757289595053327,positive
дов,3.4502546620424117,positive
аб,3.4042492475776798,positive
иб,3.313827251995936,positive
гом,3.296209777980971,positive
су,3.279267071948655,positive
му,3.244102727877497,positive
оме,3.2061614531763274,positive
аго,3.2038253614811363,positive
аро,3.1669981534800185,positive
 ом,3.1662801590563983,positive
ула,3.137986900364703,positive
дж,3.1266227079563556,positive
ят ,3.0316563939452132,positive
ам,2.975699357540984,positive
ом,2.9722696228825924,positive
ва ,2.967334459352691,positive
маг,2.933759831975833,positive
сул,2.933147023306948,positive
ият,2.921573768055332,positive
гад,2.918663810245692,positive
бек,2.851347639681863,positive
ило,2.786424060854438,positive
асу,2.770908709114805,positive
ов,2.742095273615425,positive
зан,2.6784767390501854,positive
ьяс,2.655522914108019,positive
лие,2.6381567238667296,positive
ул,2.614206751198103,positive
 за,2.558397154113012,positive
за,2.5444443012751004,positive
в з,2.489689544483214,positive
 ис,2.4692417201160266,positive
 ш,2.4665494509891017,positive
из,2.4640817471524823,positive
джи,2.4551750615650474,positive
в ,2.4395291706672304,positive
уд,2.398559831041727,positive
ази,2.393325930931287,positive
ано,2.3866049110362337,positive
га,2.3373063016365876,positive
бан,2.335074848240665,positive
уди,2.3302241606972656,positive
сма,2.323903546459904,positive
ме,2.3157018825429136,positive
ака,2.2839012906509457,positive
адж,2.282163189336633,positive
лла,2.271788853803238,positive
маз,2.2628616986201746,positive
урб,2.2434780882259475,positive
има,2.2428216910074164,positive
ят,2.234776090731361,positive
ас,2.2314707260379754,positive
 му,2.2254089147907536,positive
кер,2.2209883907622068,positive
мус,2.2187625848881836,positive
уев,2.207803045940315,positive
жа,2.201388209936856,positive
яс,2.178945330161826,positive
аж,2.155409797235087,positive
бег,2.1517244274363994,positive
ати,2.146088937532982,positive
идр,2.1294062100714606,positive
гю,2.127729838233548,positive
осм,2.118918736829705,positive
 з,2.093261925844202,positive
уе,2.0830357740363037,positive
бду,2.0783430198258777,positive
ум,2.0725271298432686,positive
ди,2.072479402537917,positive
сае,2.0635517843528928,positive
ома,2.045562604868472,positive
ших,2.040604163581187,positive
 ка,2.036807799048317,positive
ус,2.033691367664718,positive
аса,2.0327771078076426,positive
джа,2.018322584836456,positive
аги,2.0083599359463395,positive
ирз,2.0037541804810046,positive
 са,2.0021808221447084,positive
бов,1.9930122936675998,positive
а ш,1.9902669798162793,positive
ру,1.9854934517742984,positive
ова,1.9698468644999163,positive
хал,1.963140144031615,positive
арс,1.9431225534905805,positive
сен,1.9384239725244607,positive
ги,1.908148621973522,positive
 зу,1.9067879996717643,positive
рб,1.9008803846589475,positive
в г,1.8949050718203446,positive
ут,1.8947524483260487,positive
йн,1.8913136918276956,positive
ке,1.8911351881802572,positive
в л,1.8906816127411379,positive
пат,1.8906364159198723,positive
 дж,1.8833572776778813,positive
ап,1.8698804201841421,positive
би,1.8656645896836748,positive
ад,1.8650792308643727,positive
утд,1.8591810706456007,positive
жи,1.8479423403016284,positive
саи,1.8458191585415245,positive
юсу,1.8416788676808136,positive
ева,1.8384696995165066,positive
ов ,1.8144964540498758,positive
шах,1.8121288231051167,positive
ба,1.8100040168040015,positive
ат,1.7982696395984927,positive
гус,1.7942675937652428,positive
 ша,1.7863893522035896,positive
