feature,coef,impact
хан,5.129299932658606,positive
т ,4.845146237719152,positive
иев,4.464720465587785,positive
аев,4.438492697226181,positive
аг,4.264737917466887,positive
ае,4.238529458838817,positive
дин,4.139577633855555,positive
али,4.014630098676332,positive
ами,4.0060884775742425,positive
мед,3.988314860160972,positive
ат ,3.9869404264837534,positive
ие,3.967273075081789,positive
гас,3.936815630986001,positive
ма,3.6657715488978404,positive
аб,3.5478138530191456,positive
дж,3.545928539689268,positive
еко,3.5360841311574216,positive
гом,3.5251505787683604,positive
су,3.47505924232272,positive
 ом,3.3993545098362334,positive
иб,3.3881354085411033,positive
оме,3.367028896553525,positive
аго,3.2696557002563136,positive
дов,3.235336382930035,positive
аро,3.2247379215289005,positive
му,3.191729017277576,positive
маг,3.1079667425337956,positive
сул,3.1008649698107225,positive
ом,3.078651124600387,positive
ам,3.039571516647735,positive
ят ,3.0209327738192253,positive
ула,2.9483404809587572,positive
 ис,2.9267132292213676,positive
ва ,2.8510593442787466,positive
ило,2.836135802776632,positive
гад,2.8321164675258506,positive
ият,2.7820303959230444,positive
лие,2.7557288702270037,positive
бек,2.732605099295481,positive
за,2.7207227630694812,positive
ул,2.7069263902678142,positive
асу,2.676077310662552,positive
ме,2.6691410511634226,positive
 за,2.6648866833690814,positive
в з,2.6570290821151397,positive
ов,2.6409530619442063,positive
зан,2.560267371813007,positive
уд,2.534902382394031,positive
джи,2.5165835895891457,positive
ьяс,2.512245533704351,positive
уди,2.512233865758594,positive
сма,2.451966445700618,positive
 ш,2.450940782645295,positive
осм,2.401636269357465,positive
аса,2.3810302561207046,positive
ази,2.3756039191957576,positive
га,2.3752834306975212,positive
адж,2.364802678608522,positive
в ,2.3562557416159873,positive
ас,2.307654038260247,positive
бду,2.303860877398336,positive
из,2.3033707936997923,positive
 са,2.3007648381944352,positive
кер,2.2628955963794772,positive
сае,2.2521919292198342,positive
аж,2.23055307506932,positive
има,2.1950338149126285,positive
мус,2.190951391899456,positive
уев,2.1848792157020376,positive
 му,2.1846166056011525,positive
идр,2.1686651187905097,positive
ус,2.166429074481887,positive
урб,2.166064240068398,positive
ака,2.1632556185624336,positive
бег,2.161556316878906,positive
ано,2.146897224503336,positive
лла,2.1377171837281335,positive
джа,2.1363138962067723,positive
бан,2.1198543650184334,positive
 ка,2.109514387727159,positive
ати,2.1091516106384134,positive
ших,2.103013879303171,positive
яс,2.100043353777364,positive
ум,2.0957199256049597,positive
аги,2.091917177488017,positive
уе,2.081703690545272,positive
 з,2.072384298231931,positive
маз,2.052931015029719,positive
ят,2.0435575200881924,positive
ирз,2.0425789694795884,positive
бов,2.0327917064107743,positive
жа,2.0268980369892544,positive
а ш,2.0117458355029303,positive
рб,2.0107247828377344,positive
йн,2.0092171300586883,positive
гю,2.003773775820949,positive
 ша,2.0036460318024463,positive
ке,1.9993695664889173,positive
жи,1.9990391605359499,positive
 дж,1.990386577525653,positive
ад,1.9903620148908672,positive
арс,1.9850965202376107,positive
ди,1.9811345335925288,positive
дир,1.9717746817957291,positive
би,1.9623279555087614,positive
ат,1.9606298612065431,positive
ед,1.9417636792294253,positive
ру,1.9331541480245455,positive
ома,1.9114969605436938,positive
 зу,1.8928844933948699,positive
ги,1.886833809121717,positive
гам,1.8850767850373977,positive
ид,1.8595764268606703,positive
юсу,1.8528358071214235,positive
ейн,1.8342498390102762,positive
риз,1.828607611367501,positive
ба,1.8284082194645817,positive
кур,1.8191561266598253,positive
ева,1.8172750247640015,positive
хал,1.8101794443657557,positive
шах,1.8086772632631498,positive
ова,1.8083791049230884,positive
аз,1.8049767998710347,positive
рба,1.8037963939455108,positive
гус,1.801230838093813,positive
ша,1.8003124210068855,positive
пат,1.783349473130995,positive
ов ,1.7832046272634046,positive
ада,1.7806564294308522,positive
 ба,1.777754496052633,positive
лей,1.7730462357685464,positive
суп,1.7649324135565112,positive
ир,1.762024096078667,positive
сен,1.7595029756087641,positive
ап,1.749807917547866,positive
утд,1.738081121146193,positive
усе,1.72864685811978,positive
апи,1.7257568580082816,positive
хме,1.7176258581615669,positive
ев ,1.7108787625730608,positive
бе,1.7016640920563793,positive
ут,1.6958691246827242,positive
 ч,1.6918456614778734,positive
йно,1.691735564242769,positive
нар,1.6753075818714431,positive
гюл,1.6644773001504385,positive
лам,1.663829698879553,positive
маи,1.6567564261346557,positive
жие,1.6464442249237032,positive
ср,1.6417185194875588,positive
ала,1.6357869880183298,positive
ур,1.6310532975043077,positive
зва,1.6182140522623754,positive
