feature,coef,impact
гас,7.124828293547701,positive
хан,7.08535365451937,positive
аев,6.5757729743094755,positive
 ом,6.126154646375282,positive
дин,5.93108710445833,positive
иев,5.803784137872759,positive
мед,5.650475782177312,positive
ят ,5.566308362157211,positive
ае,5.520790815313032,positive
еко,5.418484926507168,positive
ами,5.193060896977305,positive
осм,5.003484303150912,positive
ших,4.932429880902235,positive
гад,4.924992411526033,positive
али,4.914767684880039,positive
оме,4.876755529335021,positive
гом,4.872019999799913,positive
асу,4.7881466003822215,positive
ат ,4.712728149640293,positive
т ,4.635784388025618,positive
ило,4.618601205866873,positive
ьяс,4.583791914846345,positive
зан,4.544552909874371,positive
иб,4.518641715596099,positive
ов,4.49490522410972,positive
ва ,4.487814376365844,positive
сул,4.47107285342293,positive
дов,4.453089455389259,positive
ият,4.4427304931856115,positive
ома,4.423258248426452,positive
в з,4.3319235969062175,positive
ази,4.328073407521668,positive
аро,4.230174590714379,positive
ом,4.2020286667477125,positive
ула,4.1977542356870545,positive
бег,4.19707517843604,positive
идр,4.144481133127367,positive
бду,3.984942636418078,positive
аб,3.97028157886678,positive
ие,3.955585171121779,positive
ака,3.9491614915829123,positive
аго,3.8651006575552023,positive
аг,3.7549146351270144,positive
бов,3.731932876110603,positive
лла,3.714506791893872,positive
сен,3.7057338861024283,positive
су,3.7021008564167746,positive
кер,3.693560851672146,positive
ирз,3.6929814981069917,positive
мус,3.616220292680122,positive
шах,3.5552054477050943,positive
 за,3.5432349222122936,positive
амм,3.493985323502189,positive
уев,3.4599727680890955,positive
в л,3.4566596878860185,positive
гит,3.4562677774361945,positive
бол,3.442731059884395,positive
утд,3.4418037244900868,positive
дж,3.432405020203384,positive
 зу,3.4263307236887246,positive
аж,3.4006336213323127,positive
лие,3.391151952420807,positive
алх,3.3889554025375705,positive
иял,3.380041554422092,positive
рту,3.3668178528214483,positive
ере,3.365867813770919,positive
 дж,3.36424280149207,positive
лик,3.333259530060759,positive
джи,3.3319256681504594,positive
гю,3.3311954690683385,positive
ажу,3.328196552015781,positive
гам,3.3277206125602166,positive
уд,3.325196731230993,positive
 ис,3.2817012152894334,positive
маг,3.27806883449992,positive
ам,3.277659458732327,positive
му,3.2546582834178555,positive
нап,3.2417669837058325,positive
нав,3.238988525776196,positive
 им,3.2344148812917135,positive
маз,3.2291030688396236,positive
урб,3.209915058451721,positive
сир,3.1938880700395713,positive
из,3.191371903044278,positive
нар,3.175091354947544,positive
маи,3.1461255704081834,positive
рсл,3.1447134714816314,positive
каи,3.1433949835771844,positive
дир,3.1340979563397213,positive
апи,3.121819579800227,positive
дур,3.112609577937977,positive
мае,3.105382621511674,positive
ма,3.0885280172490686,positive
 ку,3.0731221134366615,positive
уди,3.070276260566649,positive
бан,3.0677687473993878,positive
лам,3.0548227832551573,positive
зва,3.0547884234001264,positive
а ш,3.0445940707487633,positive
ад ,3.0420879542579775,positive
ова,3.0403793160761796,positive
ас,3.036421387405459,positive
ьяе,3.0261384957241404,positive
гер,3.0027892905123044,positive
ано,2.9934424111592186,positive
а ж,2.9797962099192996,positive
 ка,2.9677584897458242,positive
рха,2.959817293978785,positive
уе,2.9549592189726086,positive
 ч,2.9536182064769867,positive
ру,2.9503482026602286,positive
гюл,2.945493639484626,positive
хб,2.928436904405361,positive
сма,2.918389650835846,positive
пат,2.9092310626162634,positive
ати,2.900439161929068,positive
ад,2.8926119258654595,positive
хач,2.8856490248712934,positive
яс,2.878327470073058,positive
диб,2.865559674154991,positive
ибе,2.847602403581922,positive
в ,2.84034578147368,positive
сак,2.8401573988829796,positive
изв,2.8162973572904346,positive
укм,2.8146736684433207,positive
ити,2.779535199183206,positive
ям ,2.7579743451494636,positive
ап,2.7531618464149066,positive
риз,2.749751237746946,positive
ало,2.748331021387382,positive
хиз,2.7482562759136915,positive
ахб,2.745933519049942,positive
в г,2.7436592051492794,positive
сае,2.738470576097446,positive
гим,2.7379236260090427,positive
саи,2.731789529012078,positive
сли,2.728197489404951,positive
юсу,2.725257158969275,positive
 му,2.724679629870685,positive
аву,2.714818334530495,positive
 ша,2.7069380425914726,positive
усе,2.697264841808541,positive
ср,2.692213813607737,positive
зое,2.679354330694582,positive
кур,2.6642736310228163,positive
