File,Precision_thr,Best Threshold,Precision,Recall,F1,Confusion Matrix,Training Time (m)
BalancedData_50000.csv,0.91,0.077,0.91,0.999,0.952,"[[13935    16]
 [ 1378  8622]]",0.038
BalancedData_50000.csv,0.92,0.086,0.92,0.999,0.958,"[[13931    20]
 [ 1211  8789]]",0.038
BalancedData_50000.csv,0.93,0.096,0.93,0.998,0.963,"[[13930    21]
 [ 1048  8952]]",0.038
BalancedData_50000.csv,0.94,0.111,0.94,0.998,0.968,"[[13926    25]
 [  888  9112]]",0.038
BalancedData_50000.csv,0.95,0.134,0.95,0.998,0.973,"[[13924    27]
 [  732  9268]]",0.038
BalancedData_50000.csv,0.96,0.17,0.96,0.997,0.978,"[[13915    36]
 [  579  9421]]",0.038
BalancedData_50000.csv,0.97,0.243,0.97,0.994,0.982,"[[13871    80]
 [  429  9571]]",0.038
BalancedData_100000.csv,0.91,0.121,0.91,0.998,0.952,"[[13926    25]
 [ 1377 18623]]",0.042
BalancedData_100000.csv,0.92,0.135,0.92,0.998,0.957,"[[13922    29]
 [ 1210 18790]]",0.042
BalancedData_100000.csv,0.93,0.16,0.93,0.997,0.963,"[[13914    37]
 [ 1047 18953]]",0.042
BalancedData_100000.csv,0.94,0.195,0.94,0.996,0.967,"[[13899    52]
 [  887 19113]]",0.042
BalancedData_100000.csv,0.95,0.249,0.95,0.995,0.972,"[[13884    67]
 [  730 19270]]",0.042
BalancedData_100000.csv,0.96,0.337,0.96,0.992,0.976,"[[13837   114]
 [  576 19424]]",0.042
BalancedData_100000.csv,0.97,0.479,0.97,0.985,0.977,"[[13738   213]
 [  424 19576]]",0.042
BalancedData_200000.csv,0.91,0.261,0.91,0.995,0.951,"[[13886    65]
 [ 1373 38627]]",0.071
BalancedData_200000.csv,0.92,0.324,0.92,0.994,0.956,"[[13866    85]
 [ 1205 38795]]",0.071
BalancedData_200000.csv,0.93,0.397,0.93,0.991,0.96,"[[13825   126]
 [ 1040 38960]]",0.071
BalancedData_200000.csv,0.94,0.463,0.94,0.988,0.964,"[[13790   161]
 [  880 39120]]",0.071
BalancedData_200000.csv,0.95,0.558,0.95,0.983,0.966,"[[13720   231]
 [  722 39278]]",0.071
BalancedData_200000.csv,0.96,0.648,0.96,0.975,0.967,"[[13599   352]
 [  566 39434]]",0.071
BalancedData_200000.csv,0.97,0.757,0.97,0.957,0.963,"[[13348   603]
 [  412 39588]]",0.071
BalancedData_500000.csv,0.91,0.603,0.91,0.981,0.944,"[[13686   265]
 [ 1353 98647]]",0.161
BalancedData_500000.csv,0.92,0.661,0.92,0.975,0.947,"[[13603   348]
 [ 1182 98818]]",0.161
BalancedData_500000.csv,0.93,0.718,0.93,0.969,0.949,"[[13513   438]
 [ 1017 98983]]",0.161
BalancedData_500000.csv,0.94,0.769,0.94,0.961,0.951,"[[13413   538]
 [  856 99144]]",0.161
BalancedData_500000.csv,0.95,0.813,0.95,0.953,0.952,"[[13301   650]
 [  700 99300]]",0.161
BalancedData_500000.csv,0.96,0.86,0.96,0.939,0.95,"[[13106   845]
 [  546 99454]]",0.161
BalancedData_500000.csv,0.97,0.895,0.97,0.923,0.946,"[[12877  1074]
 [  398 99602]]",0.161
BalancedData_1000000.csv,0.91,0.818,0.91,0.956,0.933,"[[ 13343    608]
 [  1319 198681]]",0.346
BalancedData_1000000.csv,0.92,0.844,0.92,0.95,0.935,"[[ 13259    692]
 [  1152 198848]]",0.346
BalancedData_1000000.csv,0.93,0.868,0.93,0.945,0.937,"[[ 13180    771]
 [   992 199008]]",0.346
BalancedData_1000000.csv,0.94,0.891,0.94,0.936,0.938,"[[ 13060    891]
 [   833 199167]]",0.346
BalancedData_1000000.csv,0.95,0.913,0.95,0.924,0.937,"[[ 12888   1063]
 [   678 199322]]",0.346
BalancedData_1000000.csv,0.96,0.932,0.96,0.911,0.935,"[[ 12704   1247]
 [   529 199471]]",0.346
BalancedData_1000000.csv,0.97,0.947,0.97,0.895,0.931,"[[ 12482   1469]
 [   386 199614]]",0.346
BalancedData_3000000.csv,0.91,0.948,0.91,0.918,0.914,"[[ 12810   1141]
 [  1266 598734]]",1.243
BalancedData_3000000.csv,0.92,0.955,0.92,0.911,0.915,"[[ 12708   1243]
 [  1105 598895]]",1.243
BalancedData_3000000.csv,0.93,0.96,0.93,0.903,0.916,"[[ 12602   1349]
 [   948 599052]]",1.243
BalancedData_3000000.csv,0.94,0.965,0.94,0.896,0.917,"[[ 12500   1451]
 [   797 599203]]",1.243
BalancedData_3000000.csv,0.95,0.97,0.95,0.888,0.918,"[[ 12391   1560]
 [   652 599348]]",1.243
BalancedData_3000000.csv,0.96,0.974,0.96,0.88,0.918,"[[ 12275   1676]
 [   511 599489]]",1.243
BalancedData_3000000.csv,0.97,0.978,0.97,0.87,0.917,"[[ 12142   1809]
 [   375 599625]]",1.243
