File,Best Threshold,Precision,Recall,F1,Confusion Matrix,Feature,Training Time (m)
BalancedData_50000.csv,0.757,0.992,0.95,0.971,"[[14007   737]
 [  110  9890]]",11344,0.035
BalancedData_100000.csv,0.768,0.987,0.95,0.968,"[[14011   733]
 [  189 19811]]",12165,0.046
BalancedData_200000.csv,0.784,0.976,0.95,0.963,"[[14010   734]
 [  338 39662]]",13394,0.074
BalancedData_500000.csv,0.85,0.961,0.95,0.956,"[[14007   737]
 [  561 99439]]",15367,0.169
BalancedData_1000000.csv,0.858,0.932,0.95,0.941,"[[ 14007    737]
 [  1030 198970]]",17049,0.323
BalancedData_3000000.csv,0.902,0.873,0.95,0.91,"[[ 14007    737]
 [  2044 597956]]",20312,1.353
