File,Precision_thr,Best Threshold,Precision,Recall,F1,Confusion Matrix,Training Time (m)
BalancedData_50000.csv,0.91,0.094,0.91,0.999,0.952,"[[12445    12]
 [ 1230  8770]]",0.03
BalancedData_50000.csv,0.92,0.104,0.92,0.999,0.958,"[[12443    14]
 [ 1082  8918]]",0.03
BalancedData_50000.csv,0.93,0.119,0.93,0.999,0.963,"[[12442    15]
 [  936  9064]]",0.03
BalancedData_50000.csv,0.94,0.137,0.94,0.998,0.968,"[[12436    21]
 [  793  9207]]",0.03
BalancedData_50000.csv,0.95,0.164,0.95,0.998,0.973,"[[12430    27]
 [  654  9346]]",0.03
BalancedData_50000.csv,0.96,0.206,0.96,0.997,0.978,"[[12422    35]
 [  517  9483]]",0.03
BalancedData_50000.csv,0.97,0.293,0.97,0.993,0.982,"[[12375    82]
 [  382  9618]]",0.03
BalancedData_100000.csv,0.91,0.147,0.91,0.997,0.952,"[[12424    33]
 [ 1228 18772]]",0.04
BalancedData_100000.csv,0.92,0.172,0.92,0.997,0.957,"[[12422    35]
 [ 1080 18920]]",0.04
BalancedData_100000.csv,0.93,0.208,0.93,0.996,0.962,"[[12406    51]
 [  933 19067]]",0.04
BalancedData_100000.csv,0.94,0.257,0.94,0.994,0.966,"[[12384    73]
 [  790 19210]]",0.04
BalancedData_100000.csv,0.95,0.334,0.95,0.992,0.97,"[[12355   102]
 [  650 19350]]",0.04
BalancedData_100000.csv,0.96,0.466,0.96,0.985,0.972,"[[12267   190]
 [  511 19489]]",0.04
BalancedData_100000.csv,0.97,0.618,0.97,0.969,0.969,"[[12066   391]
 [  373 19627]]",0.04
BalancedData_200000.csv,0.91,0.315,0.91,0.993,0.95,"[[12376    81]
 [ 1224 38776]]",0.072
BalancedData_200000.csv,0.92,0.376,0.92,0.991,0.954,"[[12346   111]
 [ 1073 38927]]",0.072
BalancedData_200000.csv,0.93,0.446,0.93,0.988,0.958,"[[12306   151]
 [  926 39074]]",0.072
BalancedData_200000.csv,0.94,0.525,0.94,0.984,0.961,"[[12256   201]
 [  782 39218]]",0.072
BalancedData_200000.csv,0.95,0.617,0.95,0.974,0.962,"[[12136   321]
 [  638 39362]]",0.072
BalancedData_200000.csv,0.96,0.706,0.96,0.962,0.961,"[[11982   475]
 [  499 39501]]",0.072
BalancedData_200000.csv,0.97,0.804,0.97,0.938,0.954,"[[11690   767]
 [  361 39639]]",0.072
BalancedData_500000.csv,0.91,0.715,0.91,0.967,0.938,"[[12043   414]
 [ 1191 98809]]",0.155
BalancedData_500000.csv,0.92,0.755,0.92,0.961,0.94,"[[11972   485]
 [ 1041 98959]]",0.155
BalancedData_500000.csv,0.93,0.796,0.93,0.953,0.941,"[[11869   588]
 [  893 99107]]",0.155
BalancedData_500000.csv,0.94,0.841,0.94,0.94,0.94,"[[11710   747]
 [  747 99253]]",0.155
BalancedData_500000.csv,0.95,0.879,0.95,0.925,0.937,"[[11521   936]
 [  606 99394]]",0.155
BalancedData_500000.csv,0.96,0.91,0.96,0.904,0.931,"[[11263  1194]
 [  469 99531]]",0.155
BalancedData_500000.csv,0.97,0.936,0.97,0.878,0.922,"[[10941  1516]
 [  338 99662]]",0.155
BalancedData_1000000.csv,0.91,0.88,0.91,0.932,0.921,"[[ 11611    846]
 [  1148 198852]]",0.333
BalancedData_1000000.csv,0.92,0.903,0.92,0.92,0.92,"[[ 11460    997]
 [   996 199004]]",0.333
BalancedData_1000000.csv,0.93,0.924,0.93,0.904,0.917,"[[ 11262   1195]
 [   847 199153]]",0.333
BalancedData_1000000.csv,0.94,0.94,0.94,0.888,0.914,"[[ 11068   1389]
 [   706 199294]]",0.333
BalancedData_1000000.csv,0.95,0.954,0.95,0.869,0.908,"[[ 10831   1626]
 [   570 199430]]",0.333
BalancedData_1000000.csv,0.96,0.965,0.96,0.846,0.9,"[[ 10541   1916]
 [   439 199561]]",0.333
BalancedData_1000000.csv,0.97,0.975,0.97,0.814,0.885,"[[ 10137   2320]
 [   313 199687]]",0.333
BalancedData_3000000.csv,0.91,0.975,0.91,0.855,0.882,"[[ 10653   1804]
 [  1053 598947]]",1.289
BalancedData_3000000.csv,0.92,0.978,0.92,0.844,0.88,"[[ 10509   1948]
 [   913 599087]]",1.289
BalancedData_3000000.csv,0.93,0.982,0.93,0.829,0.877,"[[ 10329   2128]
 [   777 599223]]",1.289
BalancedData_3000000.csv,0.94,0.985,0.94,0.81,0.87,"[[ 10087   2370]
 [   643 599357]]",1.289
BalancedData_3000000.csv,0.95,0.988,0.95,0.793,0.865,"[[  9882   2575]
 [   520 599480]]",1.289
BalancedData_3000000.csv,0.96,0.99,0.96,0.77,0.854,"[[  9587   2870]
 [   399 599601]]",1.289
BalancedData_3000000.csv,0.97,0.992,0.97,0.745,0.842,"[[  9275   3182]
 [   286 599714]]",1.289
