feature,coef,impact
хан,5.340110453773344,positive
т ,5.2454863702068035,positive
иев,4.707179135540986,positive
аг,4.700128907465309,positive
аев,4.629614581179303,positive
ае,4.390648381209366,positive
али,4.368479843691784,positive
дин,4.329444513158066,positive
ами,4.2432271954309595,positive
ат ,4.214899686518396,positive
ие,4.187399828759156,positive
мед,4.0296844838434165,positive
гас,3.9768533171498994,positive
ма,3.834239183928578,positive
аб,3.739658201577206,positive
су,3.6376693539563973,positive
дж,3.563311952620017,positive
дов,3.507560621712806,positive
иб,3.4199481972184116,positive
еко,3.4085948854909582,positive
гом,3.400079818274759,positive
му,3.3601385670232444,positive
маг,3.35763982146118,positive
сул,3.2869603780257686,positive
оме,3.2648925431424933,positive
аго,3.1873540288791564,positive
ам,3.165695920174526,positive
ило,3.1294182784212987,positive
 ом,3.1264398063532317,positive
ула,3.090881827647474,positive
лие,3.033102304035677,positive
гад,3.0248220306917792,positive
аро,2.9734514446478384,positive
ят ,2.9584688849247933,positive
ом,2.9474928157956857,positive
ул,2.9459072573473857,positive
 ис,2.9133451430773105,positive
ва ,2.890418338242412,positive
за,2.8016733462322003,positive
ият,2.7570300133132393,positive
 за,2.7529002343988553,positive
ов,2.735228301962672,positive
джи,2.67051223138322,positive
асу,2.6703704286157306,positive
 ш,2.664018948202831,positive
бек,2.6553108037753104,positive
зан,2.5636166157244435,positive
 са,2.5499524802482645,positive
сма,2.5487572829363545,positive
мус,2.5152774092731995,positive
ме,2.5077946156176183,positive
уд,2.490893904160071,positive
в з,2.4874432210631614,positive
аги,2.476322447167167,positive
ази,2.4696444756491664,positive
адж,2.4679997967690404,positive
в ,2.4569145268945842,positive
уди,2.4548163275580848,positive
аса,2.425477238046817,positive
га,2.41113201945085,positive
ьяс,2.406405026227193,positive
ас,2.386955442005588,positive
жа,2.3613989413789302,positive
из,2.3492551980815253,positive
ака,2.3210116913543035,positive
урб,2.3204507808081045,positive
ано,2.3111537399520583,positive
 му,2.3051532848472083,positive
кер,2.2956125968051557,positive
ус,2.295097646746501,positive
 з,2.2830767994997205,positive
бду,2.2671104238610553,positive
лла,2.24002481474281,positive
сае,2.203548341329118,positive
осм,2.2004958316339747,positive
ум,2.175504026666952,positive
аж,2.1662958740976803,positive
идр,2.14558640667574,positive
йн,2.1446403656361053,positive
джа,2.1350870233693033,positive
ят,2.1342088763443963,positive
 ка,2.133422940038716,positive
яс,2.1051002922119704,positive
маз,2.1007583975390536,positive
рб,2.1007549904634977,positive
ке,2.0831564995926835,positive
гю,2.081877928938155,positive
ги,2.0790562693081505,positive
би,2.0701982750710393,positive
 дж,2.0648534822309546,positive
ирз,2.0508201503381436,positive
уев,2.045189552591009,positive
бов,2.0417329988550885,positive
 ша,2.0383172246950316,positive
дир,2.031748712967813,positive
ди,2.026104007536432,positive
има,2.021997591556648,positive
бан,2.0204719310932733,positive
бег,2.0176405575207914,positive
ба,2.0099806151547663,positive
ад,2.0057173084038338,positive
ед,2.0042551256060706,positive
арс,1.9809033213055762,positive
ейн,1.9762050966279403,positive
а ш,1.9723736217412966,positive
уе,1.9502702044764562,positive
жи,1.936211303890815,positive
ов ,1.9266677860727228,positive
ру,1.9236310857842567,positive
ших,1.9217074126762068,positive
ома,1.917732208497388,positive
ати,1.913972924965303,positive
 зу,1.9078383598679354,positive
нар,1.9019057212003772,positive
сен,1.890697818208877,positive
риз,1.8782643147919187,positive
хал,1.8782583710824656,positive
ат,1.8707285277165733,positive
саи,1.8632070094176318,positive
лей,1.8626153256075884,positive
ид,1.8595704773258643,positive
ова,1.858630287374524,positive
гус,1.8458541673856568,positive
ша,1.835337353415277,positive
са,1.8350432192898007,positive
сал,1.828901072349926,positive
ева,1.8270784047156952,positive
юсу,1.821895780906009,positive
аз,1.8157033387345807,positive
ир,1.814158913205621,positive
