feature,coef,impact
т ,4.108712338176173,positive
аг,4.0101338996904605,positive
иев,3.8304141796965743,positive
ие,3.6521088656159386,positive
ма,3.5818977788786963,positive
аев,3.475134520358569,positive
ае,3.4029259991632155,positive
аб,3.3364918836725184,positive
хан,3.264253619220093,positive
али,3.2411086302682577,positive
ат ,3.178811397751082,positive
ами,3.158272314916566,positive
ам,3.1073415407450824,positive
мед,3.0648943876077945,positive
дин,3.0645650414981183,positive
дж,3.014023331448689,positive
му,2.9390739468619476,positive
ул,2.9213621184942076,positive
су,2.7955410202948308,positive
дов,2.781830229328301,positive
за,2.7300760420475227,positive
маг,2.6852213879235056,positive
гом,2.6193601738866663,positive
ме,2.6171993180779607,positive
аго,2.594091383524824,positive
оме,2.57801909027882,positive
иб,2.540701009884254,positive
ом,2.4143374626351854,positive
еко,2.3627999765170697,positive
га,2.3014187737727974,positive
лие,2.2753967210979718,positive
бек,2.2718436626870595,positive
аро,2.271091346380808,positive
в ,2.209446212703034,positive
 ш,2.202934230724303,positive
гас,2.192563626239543,positive
ва ,2.1868691685878257,positive
ов,2.1856618548463334,positive
ед,2.179116412381206,positive
ба,2.1223560168822493,positive
ула,2.1184687774789865,positive
сул,2.089261712894085,positive
аги,2.0694364365784574,positive
 за,2.0524080862343954,positive
ус,2.007789997758676,positive
 з,2.0070363086849277,positive
гад,1.9947355219812142,positive
ша,1.97415364897905,positive
джи,1.9624693959827986,positive
жа,1.9496722245203155,positive
адж,1.9413309864389554,positive
уд,1.924649750928131,positive
бе,1.919927000525826,positive
ят ,1.9138294594430436,positive
 ис,1.8923017545164758,positive
ас,1.8890244611862854,positive
ди,1.861817866206319,positive
 са,1.856695086575054,positive
са,1.8369375071974294,positive
ило,1.8072774499976751,positive
ият,1.7845604450602888,positive
ур,1.7691392114962219,positive
ат,1.7673253821284225,positive
бду,1.7598248917259236,positive
сма,1.7478570311113897,positive
рб,1.7476931028503917,positive
аса,1.743951893241757,positive
ги,1.7403702151870928,positive
ано,1.7178905707755823,positive
жи,1.7173569286533332,positive
ов ,1.6925629459105946,positive
ева,1.6828752507968958,positive
 ша,1.6794778498730125,positive
ад,1.673622475282996,positive
джа,1.6666537871916285,positive
дул,1.6664977497210252,positive
 му,1.6630629551447864,positive
ир,1.644817750513598,positive
мус,1.6360244682003298,positive
аз,1.6275416411459653,positive
ум,1.627162226688547,positive
уди,1.6256579048160291,positive
ят,1.5960933231632333,positive
ид,1.5886187729405872,positive
 ом,1.5865193177881924,positive
до,1.5618574014883255,positive
има,1.54606674348942,positive
йн,1.5425235179130354,positive
ев ,1.5317735228999894,positive
би,1.5242863964123372,positive
ах,1.5186272070052456,positive
ра,1.4891255806100285,positive
урб,1.4824570516302409,positive
бд,1.4810606228392786,positive
абд,1.4797785132387664,positive
ази,1.4761612916716864,positive
сае,1.4679049161748128,positive
 дж,1.4653384050408598,positive
зан,1.4582747380650538,positive
асу,1.455807891493825,positive
из,1.4542569272210315,positive
едо,1.4519956299769323,positive
 ка,1.4410704420759917,positive
бан,1.4114080163813065,positive
ке,1.405356179286384,positive
кер,1.4045544894932835,positive
ут,1.3923596023672906,positive
ха,1.3922171777829702,positive
лла,1.3725687388341965,positive
ьяс,1.3682576201401198,positive
в з,1.3643143937710402,positive
ка,1.3534178663607717,positive
 аб,1.3363355071914753,positive
мил,1.3356455249564407,positive
аж,1.3342302507716892,positive
ака,1.3323512573478333,positive
ду,1.3322876483085726,positive
ати,1.33216848990385,positive
а ш,1.329187764618431,positive
ейн,1.3285756798779131,positive
шам,1.3270045994132669,positive
см,1.3241265631154866,positive
яс,1.3238540546410544,positive
усе,1.2924343018105846,positive
бов,1.2843518146930168,positive
д ,1.2773993354466602,positive
 ам,1.2734562933794793,positive
гим,1.2680101643653716,positive
нар,1.2515528231215065,positive
дир,1.247664311073611,positive
маз,1.2413978115620332,positive
гус,1.2364383745762766,positive
сал,1.2329898915112014,positive
рз,1.2289158823600044,positive
раг,1.221500176356216,positive
 ба,1.2210888947768956,positive
го,1.218459737596395,positive
кур,1.2161923031828297,positive
арс,1.2161131646417571,positive
аи,1.215357887908908,positive
юсу,1.2121619274139914,positive
лей,1.208619414847957,positive
хме,1.1983322594981447,positive
маи,1.1872889174639356,positive
жие,1.1869795590148826,positive
ру,1.1851527692626491,positive
идр,1.1837496335746376,positive
ова,1.1804739118881946,positive
рба,1.1722488841566991,positive
 зу,1.1705716351788347,positive
осм,1.1652126936609846,positive
хал,1.1611832534302486,positive
ирз,1.157238892334014,positive
гам,1.152284542085124,positive
аба,1.1472910988837663,positive
ап,1.142247394132126,positive
т а,1.1352389328892811,positive
пат,1.1318908976549122,positive
зу,1.1308879730000478,positive
ино,1.1300802728930577,positive
ала,1.1285790673790255,positive
юс,1.115716774081385,positive
ал,1.1092472770380863,positive
гир,1.109040912712935,positive
лат,1.1004280334647265,positive
суп,1.0981492404111695,positive
