File,Best Threshold,Precision,Recall,F1,Confusion Matrix,Feature,Training Time (m)
BalancedData_50000.csv,0.835,0.994,0.951,0.972,"[[13273   678]
 [   84  9916]]",11164,0.034
BalancedData_100000.csv,0.845,0.991,0.951,0.971,"[[13263   688]
 [  116 19884]]",12152,0.048
BalancedData_200000.csv,0.871,0.984,0.95,0.967,"[[13256   695]
 [  214 39786]]",13283,0.083
BalancedData_500000.csv,0.892,0.972,0.95,0.961,"[[13254   697]
 [  377 99623]]",15221,0.184
BalancedData_1000000.csv,0.903,0.949,0.95,0.95,"[[ 13254    697]
 [   711 199289]]",16943,0.573
