ModelName,Threshold,Precision,Recall,f1,Confusion Matrix
BalancedData_50000.pkl,0.6868,0.287,0.9688,0.4429,"[[62, 2], [154, 4351]]"
BalancedData_100000.pkl,0.7268,0.3144,0.9531,0.4729,"[[61, 3], [133, 4372]]"
BalancedData_200000.pkl,0.756,0.339,0.9375,0.4979,"[[60, 4], [117, 4388]]"
BalancedData_500000.pkl,0.7777,0.3688,0.9219,0.5268,"[[59, 5], [101, 4404]]"
BalancedData_1000000.pkl,0.8201,0.383,0.8438,0.5268,"[[54, 10], [87, 4418]]"
BalancedData_3000000.pkl,0.8368,0.4274,0.8281,0.5638,"[[53, 11], [71, 4434]]"
