modelsUp6,Precision,Recall,f1,Confusion Matrix
50000.pkl,0.3258,0.9062,0.4793,"[[58, 6], [120, 4385]]"
100000.pkl,0.3333,0.9062,0.4874,"[[58, 6], [116, 4389]]"
200000.pkl,0.3457,0.875,0.4956,"[[56, 8], [106, 4399]]"
500000.pkl,0.4015,0.8281,0.5408,"[[53, 11], [79, 4426]]"
1000000.pkl,0.408,0.7969,0.5397,"[[51, 13], [74, 4431]]"
3000000.pkl,0.4623,0.7656,0.5765,"[[49, 15], [57, 4448]]"
