modelsUp3,Precision,Recall,f1,Confusion Matrix
50000.pkl,0.3093,0.9375,0.4651,"[[60, 4], [134, 4371]]"
100000.pkl,0.3295,0.9062,0.4833,"[[58, 6], [118, 4387]]"
200000.pkl,0.3413,0.8906,0.4935,"[[57, 7], [110, 4395]]"
500000.pkl,0.3857,0.8438,0.5294,"[[54, 10], [86, 4419]]"
1000000.pkl,0.3985,0.8281,0.5381,"[[53, 11], [80, 4425]]"
3000000.pkl,0.469,0.8281,0.5989,"[[53, 11], [60, 4445]]"
