modelsUp2,Precision,Recall,f1,Confusion Matrix
50000.pkl,0.3116,0.9688,0.4715,"[[62, 2], [137, 4368]]"
100000.pkl,0.3279,0.9375,0.4858,"[[60, 4], [123, 4382]]"
200000.pkl,0.3488,0.9375,0.5085,"[[60, 4], [112, 4393]]"
500000.pkl,0.3793,0.8594,0.5263,"[[55, 9], [90, 4415]]"
1000000.pkl,0.3985,0.8281,0.5381,"[[53, 11], [80, 4425]]"
3000000.pkl,0.463,0.7812,0.5814,"[[50, 14], [58, 4447]]"
