ModelName,Threshold,Precision,Recall,f1,Confusion Matrix
BalancedData_50000_P91.pkl,0.1125,0.0515,1.0,0.0979,"[[64, 0], [1179, 3326]]"
BalancedData_50000_P92.pkl,0.1235,0.0564,1.0,0.1068,"[[64, 0], [1070, 3435]]"
BalancedData_50000_P93.pkl,0.138,0.0648,1.0,0.1218,"[[64, 0], [923, 3582]]"
BalancedData_50000_P94.pkl,0.156,0.0749,1.0,0.1394,"[[64, 0], [790, 3715]]"
BalancedData_50000_P95.pkl,0.1846,0.0904,1.0,0.1658,"[[64, 0], [644, 3861]]"
BalancedData_50000_P96.pkl,0.2255,0.1088,1.0,0.1963,"[[64, 0], [524, 3981]]"
BalancedData_50000_P97.pkl,0.3071,0.1465,1.0,0.2555,"[[64, 0], [373, 4132]]"
BalancedData_100000_P91.pkl,0.1666,0.0951,1.0,0.1737,"[[64, 0], [609, 3896]]"
BalancedData_100000_P92.pkl,0.1865,0.1056,1.0,0.191,"[[64, 0], [542, 3963]]"
BalancedData_100000_P93.pkl,0.2101,0.1172,1.0,0.2098,"[[64, 0], [482, 4023]]"
BalancedData_100000_P94.pkl,0.2531,0.135,1.0,0.2379,"[[64, 0], [410, 4095]]"
BalancedData_100000_P95.pkl,0.307,0.1565,1.0,0.2706,"[[64, 0], [345, 4160]]"
BalancedData_100000_P96.pkl,0.3978,0.1882,1.0,0.3168,"[[64, 0], [276, 4229]]"
BalancedData_100000_P97.pkl,0.5336,0.2319,1.0,0.3765,"[[64, 0], [212, 4293]]"
BalancedData_200000_P91.pkl,0.3234,0.173,1.0,0.2949,"[[64, 0], [306, 4199]]"
BalancedData_200000_P92.pkl,0.3899,0.1934,1.0,0.3241,"[[64, 0], [267, 4238]]"
BalancedData_200000_P93.pkl,0.4536,0.2119,1.0,0.3497,"[[64, 0], [238, 4267]]"
BalancedData_200000_P94.pkl,0.5219,0.2362,1.0,0.3821,"[[64, 0], [207, 4298]]"
BalancedData_200000_P95.pkl,0.6113,0.2658,0.9844,0.4186,"[[63, 1], [174, 4331]]"
BalancedData_200000_P96.pkl,0.6828,0.2913,0.9375,0.4444,"[[60, 4], [146, 4359]]"
BalancedData_200000_P97.pkl,0.7656,0.3412,0.9062,0.4957,"[[58, 6], [112, 4393]]"
BalancedData_500000_P91.pkl,0.6554,0.2961,0.9531,0.4519,"[[61, 3], [145, 4360]]"
BalancedData_500000_P92.pkl,0.7,0.3141,0.9375,0.4706,"[[60, 4], [131, 4374]]"
BalancedData_500000_P93.pkl,0.7509,0.3488,0.9375,0.5085,"[[60, 4], [112, 4393]]"
BalancedData_500000_P94.pkl,0.7898,0.35,0.875,0.5,"[[56, 8], [104, 4401]]"
BalancedData_500000_P95.pkl,0.8294,0.383,0.8438,0.5268,"[[54, 10], [87, 4418]]"
BalancedData_500000_P96.pkl,0.8627,0.4194,0.8125,0.5532,"[[52, 12], [72, 4433]]"
BalancedData_500000_P97.pkl,0.896,0.4571,0.75,0.568,"[[48, 16], [57, 4448]]"
BalancedData_1000000_P91.pkl,0.8355,0.3955,0.8281,0.5354,"[[53, 11], [81, 4424]]"
BalancedData_1000000_P92.pkl,0.8568,0.4127,0.8125,0.5474,"[[52, 12], [74, 4431]]"
BalancedData_1000000_P93.pkl,0.877,0.4274,0.7812,0.5525,"[[50, 14], [67, 4438]]"
BalancedData_1000000_P94.pkl,0.8955,0.4505,0.7812,0.5714,"[[50, 14], [61, 4444]]"
BalancedData_1000000_P95.pkl,0.9142,0.5,0.7188,0.5897,"[[46, 18], [46, 4459]]"
BalancedData_1000000_P96.pkl,0.9292,0.494,0.6406,0.5578,"[[41, 23], [42, 4463]]"
BalancedData_1000000_P97.pkl,0.9458,0.5211,0.5781,0.5481,"[[37, 27], [34, 4471]]"
BalancedData_3000000_P91.pkl,0.9474,0.5263,0.625,0.5714,"[[40, 24], [36, 4469]]"
BalancedData_3000000_P92.pkl,0.9533,0.5286,0.5781,0.5522,"[[37, 27], [33, 4472]]"
BalancedData_3000000_P93.pkl,0.9582,0.5455,0.5625,0.5538,"[[36, 28], [30, 4475]]"
BalancedData_3000000_P94.pkl,0.9625,0.5645,0.5469,0.5556,"[[35, 29], [27, 4478]]"
BalancedData_3000000_P95.pkl,0.9669,0.5763,0.5312,0.5528,"[[34, 30], [25, 4480]]"
BalancedData_3000000_P96.pkl,0.9708,0.5789,0.5156,0.5455,"[[33, 31], [24, 4481]]"
BalancedData_3000000_P97.pkl,0.9749,0.5849,0.4844,0.5299,"[[31, 33], [22, 4483]]"
BalancedData_6000000_P91.pkl,0.97,0.5312,0.5312,0.5312,"[[34, 30], [30, 4475]]"
BalancedData_6000000_P92.pkl,0.9725,0.5484,0.5312,0.5397,"[[34, 30], [28, 4477]]"
BalancedData_6000000_P93.pkl,0.9747,0.5574,0.5312,0.544,"[[34, 30], [27, 4478]]"
BalancedData_6000000_P94.pkl,0.9766,0.5789,0.5156,0.5455,"[[33, 31], [24, 4481]]"
BalancedData_6000000_P95.pkl,0.9786,0.5818,0.5,0.5378,"[[32, 32], [23, 4482]]"
BalancedData_6000000_P96.pkl,0.9804,0.6154,0.5,0.5517,"[[32, 32], [20, 4485]]"
BalancedData_6000000_P97.pkl,0.9822,0.6275,0.5,0.5565,"[[32, 32], [19, 4486]]"
