ModelName,Threshold,Precision,Recall,f1,Confusion Matrix
BalancedData_50000_P91.pkl,0.0943,0.0621,1.0,0.1169,"[[64, 0], [967, 3538]]"
BalancedData_50000_P92.pkl,0.1043,0.0697,1.0,0.1303,"[[64, 0], [854, 3651]]"
BalancedData_50000_P93.pkl,0.1192,0.0793,1.0,0.147,"[[64, 0], [743, 3762]]"
BalancedData_50000_P94.pkl,0.1366,0.0901,1.0,0.1654,"[[64, 0], [646, 3859]]"
BalancedData_50000_P95.pkl,0.164,0.1056,1.0,0.191,"[[64, 0], [542, 3963]]"
BalancedData_50000_P96.pkl,0.2061,0.1283,1.0,0.2274,"[[64, 0], [435, 4070]]"
BalancedData_50000_P97.pkl,0.293,0.1624,1.0,0.2795,"[[64, 0], [330, 4175]]"
BalancedData_100000_P91.pkl,0.1475,0.1107,1.0,0.1994,"[[64, 0], [514, 3991]]"
BalancedData_100000_P92.pkl,0.1721,0.125,1.0,0.2222,"[[64, 0], [448, 4057]]"
BalancedData_100000_P93.pkl,0.2082,0.1425,1.0,0.2495,"[[64, 0], [385, 4120]]"
BalancedData_100000_P94.pkl,0.2573,0.1576,1.0,0.2723,"[[64, 0], [342, 4163]]"
BalancedData_100000_P95.pkl,0.3339,0.1871,1.0,0.3153,"[[64, 0], [278, 4227]]"
BalancedData_100000_P96.pkl,0.466,0.2222,1.0,0.3636,"[[64, 0], [224, 4281]]"
BalancedData_100000_P97.pkl,0.6177,0.2684,0.9688,0.4203,"[[62, 2], [169, 4336]]"
BalancedData_200000_P91.pkl,0.3154,0.1905,1.0,0.32,"[[64, 0], [272, 4233]]"
BalancedData_200000_P92.pkl,0.3757,0.2032,1.0,0.3377,"[[64, 0], [251, 4254]]"
BalancedData_200000_P93.pkl,0.4463,0.2246,1.0,0.3668,"[[64, 0], [221, 4284]]"
BalancedData_200000_P94.pkl,0.5249,0.253,1.0,0.4038,"[[64, 0], [189, 4316]]"
BalancedData_200000_P95.pkl,0.6169,0.2812,0.9844,0.4375,"[[63, 1], [161, 4344]]"
BalancedData_200000_P96.pkl,0.7058,0.3175,0.9375,0.4743,"[[60, 4], [129, 4376]]"
BalancedData_200000_P97.pkl,0.8038,0.3548,0.8594,0.5023,"[[55, 9], [100, 4405]]"
BalancedData_500000_P91.pkl,0.715,0.3315,0.9375,0.4898,"[[60, 4], [121, 4384]]"
BalancedData_500000_P92.pkl,0.755,0.3432,0.9062,0.4979,"[[58, 6], [111, 4394]]"
BalancedData_500000_P93.pkl,0.7955,0.3709,0.875,0.5209,"[[56, 8], [95, 4410]]"
BalancedData_500000_P94.pkl,0.841,0.4091,0.8438,0.551,"[[54, 10], [78, 4427]]"
BalancedData_500000_P95.pkl,0.8786,0.4224,0.7656,0.5444,"[[49, 15], [67, 4438]]"
BalancedData_500000_P96.pkl,0.9098,0.4948,0.75,0.5963,"[[48, 16], [49, 4456]]"
BalancedData_500000_P97.pkl,0.936,0.4935,0.5938,0.539,"[[38, 26], [39, 4466]]"
BalancedData_1000000_P91.pkl,0.8802,0.4495,0.7656,0.5665,"[[49, 15], [60, 4445]]"
BalancedData_1000000_P92.pkl,0.9032,0.4554,0.7188,0.5576,"[[46, 18], [55, 4450]]"
BalancedData_1000000_P93.pkl,0.9241,0.4783,0.6875,0.5641,"[[44, 20], [48, 4457]]"
BalancedData_1000000_P94.pkl,0.94,0.5263,0.625,0.5714,"[[40, 24], [36, 4469]]"
BalancedData_1000000_P95.pkl,0.9536,0.5469,0.5469,0.5469,"[[35, 29], [29, 4476]]"
BalancedData_1000000_P96.pkl,0.9653,0.5926,0.5,0.5424,"[[32, 32], [22, 4483]]"
BalancedData_1000000_P97.pkl,0.9753,0.6078,0.4844,0.5391,"[[31, 33], [20, 4485]]"
BalancedData_3000000_P91.pkl,0.9748,0.6,0.5156,0.5546,"[[33, 31], [22, 4483]]"
BalancedData_3000000_P92.pkl,0.9781,0.6038,0.5,0.547,"[[32, 32], [21, 4484]]"
BalancedData_3000000_P93.pkl,0.9818,0.6122,0.4688,0.531,"[[30, 34], [19, 4486]]"
BalancedData_3000000_P94.pkl,0.9853,0.6429,0.4219,0.5094,"[[27, 37], [15, 4490]]"
BalancedData_3000000_P95.pkl,0.9878,0.6842,0.4062,0.5098,"[[26, 38], [12, 4493]]"
BalancedData_3000000_P96.pkl,0.9902,0.7059,0.375,0.4898,"[[24, 40], [10, 4495]]"
BalancedData_3000000_P97.pkl,0.9922,0.7097,0.3438,0.4632,"[[22, 42], [9, 4496]]"
