modelsUp5,Precision,Recall,f1,Confusion Matrix
50000.pkl,0.3187,0.9062,0.4715,"[[58, 6], [124, 4381]]"
100000.pkl,0.3392,0.9062,0.4936,"[[58, 6], [113, 4392]]"
200000.pkl,0.3519,0.8906,0.5044,"[[57, 7], [105, 4400]]"
500000.pkl,0.403,0.8438,0.5455,"[[54, 10], [80, 4425]]"
1000000.pkl,0.4173,0.8281,0.555,"[[53, 11], [74, 4431]]"
3000000.pkl,0.4636,0.7969,0.5862,"[[51, 13], [59, 4446]]"
