ModelName,Threshold,Precision,Recall,f1,Confusion Matrix
BalancedData_50000.pkl,0.7324,0.3228,0.9531,0.4822,"[[61, 3], [128, 4377]]"
BalancedData_100000.pkl,0.7555,0.3392,0.9062,0.4936,"[[58, 6], [113, 4392]]"
BalancedData_200000.pkl,0.788,0.3478,0.875,0.4978,"[[56, 8], [105, 4400]]"
BalancedData_500000.pkl,0.8243,0.3901,0.8594,0.5366,"[[55, 9], [86, 4419]]"
BalancedData_1000000.pkl,0.8474,0.4109,0.8281,0.5492,"[[53, 11], [76, 4429]]"
BalancedData_3000000.pkl,0.891,0.4679,0.7969,0.5896,"[[51, 13], [58, 4447]]"
