modelsUp1,Precision,Recall,f1,Confusion Matrix
50000.pkl,0.3005,0.9531,0.4569,"[[61, 3], [142, 4363]]"
100000.pkl,0.3158,0.9375,0.4724,"[[60, 4], [130, 4375]]"
200000.pkl,0.3448,0.9375,0.5042,"[[60, 4], [114, 4391]]"
500000.pkl,0.3733,0.875,0.5234,"[[56, 8], [94, 4411]]"
1000000.pkl,0.4167,0.8594,0.5612,"[[55, 9], [77, 4428]]"
3000000.pkl,0.438,0.8281,0.573,"[[53, 11], [68, 4437]]"
