feature,coef,impact
иев,5.534937189246534,positive
т ,5.496835858339126,positive
аг,5.483573601989326,positive
хан,5.2653934594968765,positive
ма,5.172451551887556,positive
аев,5.037653718449522,positive
ие,4.998721317760974,positive
ами,4.793268014886407,positive
ае,4.684177058113968,positive
дин,4.632918250169733,positive
али,4.4645270527024605,positive
ат ,4.4106475625086246,positive
аб,4.2835657569788665,positive
ов,4.2570108201464345,positive
су,4.193319127334464,positive
маг,4.185978337220366,positive
мед,4.168014035909281,positive
дж,4.1440206949348575,positive
ам,4.077926330596056,positive
гом,4.068942915518416,positive
аго,4.065028223118972,positive
ом,4.032026823836659,positive
гас,4.017170798960396,positive
оме,3.989969977163797,positive
дов,3.9548627743921605,positive
му,3.743991231991524,positive
еко,3.732196454551151,positive
ва ,3.6926524320436416,positive
 ис,3.6345616565935916,positive
за,3.6246333406403375,positive
в ,3.5672776152539214,positive
иб,3.524831954712754,positive
 ш,3.5047823390830577,positive
ула,3.4481194848674885,positive
ги,3.433388646272253,positive
ад,3.4045720993450623,positive
ме,3.393843480899365,positive
ул,3.357418451830623,positive
в з,3.356165992919521,positive
ас,3.264043127065938,positive
ят ,3.2548486597737587,positive
 за,3.2271723670464065,positive
га,3.2265259326183786,positive
гад,3.1833782125177734,positive
ди,3.162949389864353,positive
 ом,3.1494389760653787,positive
мус,3.098596943708232,positive
ият,3.0898494076945617,positive
аро,3.0886526244465893,positive
уд,3.078826679718385,positive
асу,3.0650462875422493,positive
 з,3.055837933853607,positive
бек,2.9787092263424566,positive
джи,2.969968208755722,positive
ило,2.959745442880713,positive
из,2.958439312993354,positive
ус,2.947881549048086,positive
аги,2.897129503560233,positive
сул,2.8162518611118994,positive
ат,2.8159123050393498,positive
ов ,2.7558175436071553,positive
ева,2.7190568202522556,positive
 дж,2.7170797262254354,positive
ят,2.7142018431329995,positive
адж,2.7085386398475673,positive
лие,2.7036321206660543,positive
ед,2.650756501221414,positive
уди,2.6368680528111024,positive
бов,2.5831928352301357,positive
го,2.582518817343647,positive
ано,2.5650172345570454,positive
ома,2.540365903585917,positive
 ша,2.53448871761909,positive
джа,2.511930959072499,positive
ев,2.5112082842183967,positive
маз,2.5086585042797958,positive
са,2.508485718602192,positive
 му,2.5031134603568916,positive
бе,2.4974635540214107,positive
аж,2.4771689079365613,positive
урб,2.445046396499661,positive
дул,2.4442317413396464,positive
жа,2.4359281423623727,positive
а ш,2.4343557250587238,positive
рб,2.426634278671265,positive
ев ,2.4003938796082656,positive
ака,2.397468562622808,positive
уев,2.3789908179201174,positive
уе,2.3752271460005208,positive
зан,2.375073365244272,positive
сма,2.3212488486669196,positive
бду,2.2958925830999237,positive
