feature,coef,impact
гас,9.802769371574046,positive
хан,8.241474493153754,positive
 ом,8.059303345916076,positive
аев,7.701089284720054,positive
иев,7.337412849817266,positive
ят ,6.851671104736374,positive
дин,6.635186685294115,positive
асу,6.586898221169387,positive
мед,6.532524731483544,positive
гад,6.402492239618867,positive
али,6.349852933751319,positive
ае,6.318691153003965,positive
ат ,6.286612738327886,positive
идр,6.183090104324297,positive
ьяс,6.163552514033153,positive
ами,6.0925388264423725,positive
ов,6.007102243188063,positive
зан,5.895916262521294,positive
оме,5.805433053270162,positive
иб,5.800832444021689,positive
ом,5.791988968362452,positive
в з,5.736510725653667,positive
осм,5.713021688115095,positive
т ,5.691700816413594,positive
ома,5.579480632544226,positive
дов,5.576475171203247,positive
гом,5.531597958396984,positive
ази,5.500530500058274,positive
еко,5.487955902668678,positive
сул,5.448949919411274,positive
бег,5.393212247612244,positive
шах,5.287615787611258,positive
ула,5.271884444619569,positive
бов,5.2600438997026355,positive
ших,5.229191650687291,positive
 дж,5.188461347912019,positive
ва ,5.130793213111443,positive
аро,5.120138661870108,positive
лла,5.039170506716162,positive
ият,5.0169313393106245,positive
бду,4.99931827458472,positive
ирз,4.913884830151652,positive
ило,4.882662190455423,positive
аб,4.879096981437025,positive
ад ,4.8613465825143996,positive
маг,4.83996975083179,positive
гю,4.839365019965673,positive
ажу,4.740366096044051,positive
аг,4.72981365223462,positive
 за,4.692064072072941,positive
кер,4.688708667789114,positive
аго,4.68295597427114,positive
маи,4.616378744076359,positive
мус,4.594342255472969,positive
зва,4.5918402161223115,positive
 им,4.585837553049825,positive
уев,4.533698571770664,positive
аж,4.494042958391614,positive
дур,4.486897097826229,positive
ие,4.482529433535327,positive
рсл,4.475027973467197,positive
сен,4.441925218371568,positive
гам,4.430031656641988,positive
алх,4.414883180821578,positive
 ку,4.405050288639174,positive
зое,4.403987183199667,positive
рту,4.39447143245132,positive
иял,4.365591775338832,positive
диб,4.359381790136625,positive
в л,4.3124625003994765,positive
мис,4.288161715699408,positive
а ж,4.284502896124487,positive
ака,4.28096830783122,positive
ам,4.271384083494476,positive
изв,4.247543995553934,positive
уд,4.245982995582307,positive
дж,4.2184740054429435,positive
гюл,4.173080473390116,positive
утд,4.170233864145329,positive
в г,4.141381983751422,positive
из,4.141010585192601,positive
апи,4.0833504371276526,positive
амм,4.0629481626020025,positive
сае,4.057148783953414,positive
бол,4.055454516306299,positive
джи,4.051741030242314,positive
 ис,4.03306908054273,positive
му,4.022261618080646,positive
нап,4.016689565421681,positive
гит,4.0159808703705036,positive
нав,4.004295794691792,positive
ас,4.003241839677194,positive
ити,3.9846917653021836,positive
ру,3.9707315859994083,positive
дир,3.9704712478149475,positive
а ш,3.9665712368451183,positive
ад,3.956261011019167,positive
каи,3.952941407079209,positive
лие,3.925507657495547,positive
су,3.9156544157513484,positive
 ч,3.864650881796331,positive
ерл,3.855053240782219,positive
яс,3.846101920972062,positive
урб,3.8384280180444796,positive
ьяе,3.8309676351164774,positive
уе,3.7351885751973066,positive
ма,3.7223172487868164,positive
гир,3.705105949143776,positive
ме,3.7017200116623257,positive
хач,3.6951717208858637,positive
бий,3.6722125920229733,positive
рха,3.6711285868924555,positive
ана,3.662592862213169,positive
укм,3.659407302768175,positive
ута,3.6585464579687743,positive
к и,3.6563401663255486,positive
 гю,3.645642348928677,positive
риз,3.641872335894513,positive
сир,3.635906062374855,positive
ват,3.6189202238455715,positive
маз,3.613270021361364,positive
бек,3.6053566775415145,positive
хиз,3.6023671443485124,positive
сел,3.5989576654857536,positive
ало,3.597753179337863,positive
ахб,3.590961573298255,positive
ям ,3.584206523466409,positive
жаб,3.579363823923672,positive
ейл,3.577240999529732,positive
аву,3.5714752662716407,positive
уди,3.5556605984865852,positive
бан,3.550240167339775,positive
ап,3.54866772929928,positive
ат,3.5409627174953138,positive
нар,3.5391261839861676,positive
 ша,3.5115204269825173,positive
хал,3.511138068598814,positive
зух,3.5036058519682487,positive
хта,3.4848324959401653,positive
ати,3.473316763840117,positive
ано,3.452153422968899,positive
ибе,3.446465308423062,positive
лае,3.440464820347152,positive
га,3.429903359982976,positive
фия,3.4297788768958677,positive
хов,3.408800435585414,positive
аба,3.3928810117273263,positive
лам,3.3806274713821893,positive
юсу,3.377725280822602,positive
усе,3.377161221394111,positive
сли,3.3562433624890216,positive
мае,3.3540803459235717,positive
ади,3.349125592406029,positive
таг,3.3394308199091447,positive
ере,3.3314315679248727,positive
хб,3.3278791940603623,positive
овн,3.3248144653224885,positive
сма,3.3196380750411687,positive
ач,3.318372007307477,positive
асх,3.3182498088957146,positive
уху,3.317575017738577,positive
ова,3.3116675090635357,positive
в ,3.3054989156822097,positive
мик,3.2913449081676602,positive
эми,3.2888839856114367,positive
кур,3.285255020634015,positive
рог,3.2851230982303363,positive
ко ,3.282482752201393,positive
лей,3.2589643581531544,positive
ср,3.2564429500331236,positive
ги,3.25416993887963,positive
суп,3.252964171395819,positive
 зу,3.2440409422433096,positive
хба,3.2349735811578526,positive
пие,3.2159084035584766,positive
сак,3.203515385094623,positive
лга,3.1999546339991083,positive
гус,3.198417262346073,positive
дул,3.1865919435027554,positive
жут,3.1813780422236886,positive
киф,3.1813435286453244,positive
 ид,3.174112926128944,positive
ял ,3.1649417386810508,positive
баг,3.1532958878619923,positive
сын,3.1490806182501196,positive
аи,3.148217165593985,positive
иср,3.145876508052163,positive
йн,3.127075614248781,positive
йг,3.1151888503128675,positive
хме,3.1147148714290753,positive
ум,3.11231718364814,positive
 ат,3.1100227916277543,positive
ейн,3.099364946045612,positive
гим,3.0902137321458927,positive
тим,3.083903940730557,positive
 ка,3.07479099262813,positive
жат,3.0713006204644007,positive
вуд,3.067585904479426,positive
и в,3.0602660948160842,positive
рзе,3.0572198891927562,positive
ул,3.042551244150881,positive
ум ,3.0402813428524653,positive
саи,3.0275096041250658,positive
сеф,3.0107499938556774,positive
имб,3.0089266166820674,positive
олл,3.0085655567652827,positive
ада,3.0004636001433305,positive
 ра,2.993525359129371,positive
ля ,2.9928003909292733,positive
пат,2.9858119450228244,positive
йша,2.983635679166053,positive
узо,2.9822547506640484,positive
 ум,2.968402549982108,positive
нус,2.9660830986785998,positive
рба,2.9642622599439217,positive
 з,2.953416063113144,positive
ай,2.9514089657279565,positive
фик,2.9486372893901107,positive
лик,2.946224718996569,positive
иве,2.9426563719551826,positive
джа,2.941331743648803,positive
 му,2.939384525391392,positive
бак,2.9384862498505395,positive
урз,2.9368876107232555,positive
лта,2.9351707036999435,positive
ирб,2.9349447395408004,positive
ди,2.924999647496364,positive
аюб,2.9249696182636407,positive
ови,2.924859919005926,positive
фих,2.9188265002071363,positive
мха,2.9103869161373592,positive
 ш,2.896343178179147,positive
рун,2.8774639083365545,positive
раг,2.873049042952974,positive
дая,2.861203309399834,positive
ифр,2.8596513668669448,positive
 на,2.8540054740503873,positive
хав,2.8516321466298287,positive
мин,2.8466600052499262,positive
аиб,2.8410955190371268,positive
тай,2.8379335558401637,positive
уп,2.8324128430134135,positive
хае,2.831927632748624,positive
хья,2.829386914959389,positive
рип,2.822821035068047,positive
изи,2.8198608356172685,positive
ал,2.8186863987030577,positive
муд,2.815039588186957,positive
ясо,2.8143949608104317,positive
зул,2.8061740764681993,positive
мут,2.803980441498779,positive
 те,2.801433777677463,positive
аир,2.8008963279791295,positive
ема,2.798979589032648,positive
сру,2.788805933616899,positive
ьби,2.7825915375164714,positive
фае,2.7816562014662685,positive
эс,2.756507861826624,positive
ауд,2.754936085100435,positive
йхо,2.7539096464613904,positive
идо,2.7500744744449857,positive
рив,2.747657697253564,positive
 гу,2.746046595236813,positive
аша,2.7433828958476725,positive
айп,2.7414980077353714,positive
ке,2.7347174454981342,positive
вле,2.7318302333254785,positive
айг,2.7290553436320106,positive
апа,2.7251989546021793,positive
йб,2.711828575611385,positive
ияв,2.7089612002146097,positive
 са,2.7041281764240095,positive
йпу,2.7023389058489764,positive
м г,2.6995183384350785,positive
юну,2.6927143048694804,positive
угу,2.683614620177378,positive
тин,2.683170111678968,positive
эль,2.6753586619471683,positive
зв,2.670680508327704,positive
а б,2.6588262508733855,positive
гер,2.651378116071842,positive
ун ,2.650356939415554,positive
в о,2.6339475035435362,positive
зих,2.6328524213602726,positive
яхь,2.6325095866954675,positive
айш,2.631414721150026,positive
бад,2.6271675036985545,positive
нах,2.6213349674120536,positive
сон,2.6188865897184246,positive
ару,2.6169379016338006,positive
в н,2.61542896039554,positive
нкы,2.606051738627868,positive
 ос,2.5928939464195473,positive
олт,2.5874984601158153,positive
ну,2.5850443719338965,positive
нге,2.577736217045743,positive
йбу,2.577293814957898,positive
раж,2.5695426768274787,positive
шир,2.569435994940557,positive
муг,2.5646573646934683,positive
сб,2.5639873297540663,positive
алм,2.5626578979226453,positive
тах,2.5624986207225606,positive
аги,2.5603815017177696,positive
мза,2.5585707688481105,positive
ву,2.5559866990304663,positive
вия,2.5530291891055366,positive
йбо,2.5495268874285353,positive
зай,2.5493314112243386,positive
шуа,2.5443294943899706,positive
 би,2.5412897481330265,positive
б е,2.5376938060757412,positive
за,2.5340618547285163,positive
йп,2.531946339061799,positive
хь,2.5290602087521536,positive
ид,2.524235807737992,positive
ши,2.518345028019276,positive
а ч,2.514589650422676,positive
 пи,2.5141782948742213,positive
влу,2.511361562351253,positive
еми,2.5113534644047926,positive
ухт,2.5112859157847147,positive
адж,2.505444268340715,positive
даи,2.503590149566868,positive
рет,2.4869960744321085,positive
рб,2.485999645144927,positive
вру,2.484213207435561,positive
мал,2.48086539880637,positive
ая ,2.4782058188040637,positive
мов,2.4778794824674457,positive
ов ,2.472774471847833,positive
ач ,2.472102750447754,positive
абу,2.4686781318929483,positive
рз,2.462187064644436,positive
ейр,2.461727318447941,positive
в с,2.459582072104287,positive
або,2.449837539256736,positive
есы,2.4488614048191053,positive
ша ,2.440870188841833,positive
бу,2.4342884133564096,positive
ндо,2.430896770089324,positive
хия,2.429938059191722,positive
ярм,2.4291808958551497,positive
арс,2.426824395931822,positive
шде,2.4251183759495434,positive
наф,2.4206926793964643,positive
ят,2.413593631664368,positive
аш,2.4107515105937893,positive
лб,2.41059694803112,positive
ар ,2.410029277299421,positive
кае,2.4078136478738483,positive
яв,2.4062920400363628,positive
йги,2.4052699841571603,positive
атл,2.4030877750599537,positive
фра,2.3981391254637736,positive
ир,2.394432542534525,positive
 бу,2.3942293167389987,positive
йно,2.3940396494222687,positive
лау,2.3818282996748734,positive
й ш,2.3805532208233395,positive
аз,2.37387488646566,positive
яра,2.372016437481835,positive
иби,2.357793980508229,positive
вке,2.3555829601919003,positive
хув,2.3522106365456943,positive
лу,2.352167749261623,positive
яво,2.350704029882907,positive
ев,2.348955288921802,positive
има,2.347525085997627,positive
ери,2.345161388805271,positive
гид,2.3449215658258447,positive
йи,2.3425686632501725,positive
чар,2.339690392429325,positive
шур,2.33147070730186,positive
ашу,2.330338645594717,positive
ьям,2.329734697326868,positive
рул,2.3248826759462764,positive
кад,2.322660829666969,positive
ыро,2.3223962943464698,positive
ухв,2.3178890895723923,positive
таз,2.3118668041668218,positive
ксу,2.31034534745937,positive
ут,2.309766909989702,positive
рг ,2.301822341327647,positive
ч х,2.3010094020650382,positive
 юс,2.2986164671898184,positive
ися,2.295131590660686,positive
 ба,2.292830232786396,positive
изр,2.2911220258280713,positive
икр,2.2907042373816697,positive
бас,2.284596522084701,positive
икы,2.282617755405241,positive
ия,2.270616599034675,positive
кбе,2.2688454231149926,positive
зак,2.2624470920163415,positive
анб,2.2609913183320995,positive
ерь,2.2574849290135797,positive
инк,2.2559893171406693,positive
би,2.2496168362410165,positive
ино,2.248963576647139,positive
фел,2.2470614264343483,positive
хум,2.2435134389267986,positive
ейх,2.241867539031622,positive
да,2.2378815166901185,positive
ког,2.2370541546603953,positive
эф,2.23644705137719,positive
ьде,2.2332978587825054,positive
куе,2.229315665722429,positive
нди,2.226989222902775,positive
юс,2.2247228973993334,positive
рчи,2.2239970944750493,positive
таж,2.2156020851428138,positive
 аи,2.2154488439740883,positive
ейф,2.214639648228458,positive
жие,2.2121940102708795,positive
анм,2.2110008476179703,positive
зри,2.210822995411325,positive
эл,2.207030420246691,positive
ет-,2.2065584402754235,positive
алб,2.202152978761296,positive
тоф,2.2001311183997956,positive
т с,2.1949803799321503,positive
рду,2.190597985444177,positive
лах,2.187261020656513,positive
аят,2.1862210946508,positive
тыр,2.1820087363938034,positive
ехт,2.1814869780937896,positive
шей,2.1752501629031618,positive
сх,2.174607157286142,positive
зие,2.1718826735119228,positive
шам,2.1629044249271674,positive
паш,2.1585925496917424,positive
ус,2.15841854709438,positive
тул,2.156828471763324,positive
ллу,2.154480307561634,positive
евр,2.1518680699367394,positive
ижа,2.1488579964265435,positive
д ,2.1459092836655165,positive
ето,2.142519809052684,positive
чов,2.1382069028116426,positive
либ,2.1351946929043364,positive
цах,2.1337468369272776,positive
йна,2.133652357630003,positive
ния,2.1300921918469267,positive
идб,2.1300869580971646,positive
ял,2.129482767545676,positive
айи,2.1256705303602934,positive
ац,2.1232921491712773,positive
пиз,2.118311704557433,positive
вов,2.115159585113059,positive
саф,2.1111851547161664,positive
нту,2.1100759215304494,positive
ьск,2.106208798912004,positive
 аж,2.106082283857227,positive
анх,2.103664560035343,positive
нва,2.099655831174337,positive
хад,2.099353826372185,positive
уба,2.096747486064509,positive
енд,2.0938677718042706,positive
эрв,2.0934747432597645,positive
узг,2.08929171878924,positive
дри,2.088051108861429,positive
биб,2.0844477168344535,positive
чие,2.0842038152387508,positive
гди,2.083697268514056,positive
 ах,2.081626929314134,positive
обе,2.077617264593238,positive
рум,2.0774690644464178,positive
дру,2.0756094548101673,positive
тоя,2.0628271023962417,positive
алд,2.0626943009194916,positive
сха,2.059776739840557,positive
ибо,2.0578902027659285,positive
муж,2.056842976542209,positive
шие,2.0565792794887803,positive
ы-,2.054107441901422,positive
нух,2.0479165579784504,positive
тля,2.047603156040215,positive
клы,2.046554449091806,positive
рбе,2.0425924618837588,positive
о р,2.0339167015202952,positive
ияу,2.0337738935726177,positive
сяч,2.0297304948439914,positive
и ,2.0296115032794146,positive
кка,2.028488378349499,positive
ела,2.0269442104144653,positive
з м,2.0267850641536387,positive
лат,2.024955547273866,positive
р ю,2.024707488273212,positive
лг,2.02344278595385,positive
баи,2.02194291911201,positive
нип,2.015120635847736,positive
хуч,2.0134014760783847,positive
о-,2.009426892784433,positive
алг,2.008819163630924,positive
го,2.0072550590071994,positive
 жа,2.005851085257922,positive
оня,2.0034430713754796,positive
ума,2.0024485065187756,positive
ыз ,1.9996554538441993,positive
кре,1.9987692803749604,positive
йла,1.9968230838118572,positive
уст,1.9966506584897443,positive
акк,1.9960761486539158,positive
кай,1.9897670805384116,positive
аше,1.989405273258782,positive
гаш,1.9866500200781834,positive
дад,1.9865122075619361,positive
пи,1.9863898212545021,positive
рто,1.9848930653606085,positive
айб,1.9811348706251188,positive
ле ,1.9770305046598102,positive
йш,1.9758943854357025,positive
ева,1.972583725462984,positive
д в,1.9724101292678424,positive
гис,1.9714328521682163,positive
дуе,1.9706201182598466,positive
ъя,1.9687058969207072,positive
 мо,1.9653106666565037,positive
зу,1.9650851817741315,positive
нде,1.9636283711103948,positive
йсо,1.9623078053640362,positive
вна,1.9618118510251623,positive
рап,1.9596960855326102,positive
аса,1.9596423671345302,positive
зни,1.957915903709099,positive
лук,1.9473491738692288,positive
хя,1.9404633918090484,positive
 че,1.9398595761132762,positive
кус,1.9357298517536081,positive
акл,1.9349562787761587,positive
тлу,1.9309832582360624,positive
лач,1.9296416447157807,positive
каф,1.9293209149048844,positive
эфе,1.9220715019919872,positive
амз,1.9105747007623703,positive
нже,1.9038255105602235,positive
ис,1.901539204436141,positive
тха,1.9010339400659346,positive
а у,1.900817638650328,positive
даш,1.8916806331042046,positive
чуй,1.8914034020063508,positive
мх,1.8910950149945507,positive
сал,1.8894618231864442,positive
дыр,1.8893468047728947,positive
сол,1.887649267274499,positive
фту,1.8876316626070535,positive
диж,1.8876020343596023,positive
эск,1.8873889479393307,positive
ялб,1.8849892480047339,positive
 из,1.8807731999177553,positive
 хи,1.8766441965315575,positive
нху,1.87570221782104,positive
аог,1.8743347212008117,positive
