File,Precision_thr,Best Threshold,Precision,Recall,F1,Confusion Matrix,Training Time (m)
BalancedData_50000.csv,0.91,0.084,0.91,0.999,0.952,"[[13015    12]
 [ 1287  8713]]",0.03
BalancedData_50000.csv,0.92,0.093,0.92,0.999,0.958,"[[13012    15]
 [ 1131  8869]]",0.03
BalancedData_50000.csv,0.93,0.106,0.93,0.999,0.963,"[[13009    18]
 [  979  9021]]",0.03
BalancedData_50000.csv,0.94,0.123,0.94,0.998,0.968,"[[13006    21]
 [  830  9170]]",0.03
BalancedData_50000.csv,0.95,0.15,0.95,0.997,0.973,"[[12994    33]
 [  683  9317]]",0.03
BalancedData_50000.csv,0.96,0.196,0.96,0.996,0.978,"[[12980    47]
 [  540  9460]]",0.03
BalancedData_50000.csv,0.97,0.269,0.97,0.994,0.982,"[[12950    77]
 [  400  9600]]",0.03
BalancedData_100000.csv,0.91,0.136,0.91,0.998,0.952,"[[12999    28]
 [ 1285 18715]]",0.043
BalancedData_100000.csv,0.92,0.157,0.92,0.997,0.957,"[[12992    35]
 [ 1129 18871]]",0.043
BalancedData_100000.csv,0.93,0.186,0.93,0.996,0.962,"[[12980    47]
 [  976 19024]]",0.043
BalancedData_100000.csv,0.94,0.23,0.94,0.995,0.967,"[[12963    64]
 [  827 19173]]",0.043
BalancedData_100000.csv,0.95,0.291,0.95,0.992,0.971,"[[12928    99]
 [  680 19320]]",0.043
BalancedData_100000.csv,0.96,0.399,0.96,0.989,0.974,"[[12880   147]
 [  536 19464]]",0.043
BalancedData_100000.csv,0.97,0.53,0.97,0.981,0.976,"[[12786   241]
 [  395 19605]]",0.043
BalancedData_200000.csv,0.91,0.292,0.91,0.993,0.95,"[[12942    85]
 [ 1279 38721]]",0.075
BalancedData_200000.csv,0.92,0.35,0.92,0.992,0.955,"[[12922   105]
 [ 1123 38877]]",0.075
BalancedData_200000.csv,0.93,0.434,0.93,0.989,0.958,"[[12878   149]
 [  969 39031]]",0.075
BalancedData_200000.csv,0.94,0.511,0.94,0.984,0.961,"[[12816   211]
 [  818 39182]]",0.075
BalancedData_200000.csv,0.95,0.615,0.95,0.975,0.962,"[[12696   331]
 [  668 39332]]",0.075
BalancedData_200000.csv,0.96,0.713,0.96,0.961,0.961,"[[12520   507]
 [  521 39479]]",0.075
BalancedData_200000.csv,0.97,0.797,0.97,0.942,0.956,"[[12274   753]
 [  379 39621]]",0.075
BalancedData_500000.csv,0.91,0.674,0.91,0.974,0.941,"[[12688   339]
 [ 1254 98746]]",0.16
BalancedData_500000.csv,0.92,0.724,0.92,0.968,0.943,"[[12611   416]
 [ 1096 98904]]",0.16
BalancedData_500000.csv,0.93,0.767,0.93,0.962,0.946,"[[12537   490]
 [  943 99057]]",0.16
BalancedData_500000.csv,0.94,0.809,0.94,0.953,0.946,"[[12414   613]
 [  792 99208]]",0.16
BalancedData_500000.csv,0.95,0.856,0.95,0.94,0.945,"[[12240   787]
 [  644 99356]]",0.16
BalancedData_500000.csv,0.96,0.893,0.96,0.92,0.94,"[[11989  1038]
 [  499 99501]]",0.16
BalancedData_500000.csv,0.97,0.925,0.97,0.896,0.931,"[[11666  1361]
 [  360 99640]]",0.16
BalancedData_1000000.csv,0.91,0.856,0.91,0.945,0.927,"[[ 12310    717]
 [  1217 198783]]",0.333
BalancedData_1000000.csv,0.92,0.88,0.92,0.937,0.928,"[[ 12202    825]
 [  1061 198939]]",0.333
BalancedData_1000000.csv,0.93,0.9,0.93,0.926,0.928,"[[ 12065    962]
 [   908 199092]]",0.333
BalancedData_1000000.csv,0.94,0.918,0.94,0.914,0.927,"[[ 11908   1119]
 [   760 199240]]",0.333
BalancedData_1000000.csv,0.95,0.934,0.95,0.9,0.925,"[[ 11730   1297]
 [   617 199383]]",0.333
BalancedData_1000000.csv,0.96,0.95,0.96,0.88,0.918,"[[ 11459   1568]
 [   477 199523]]",0.333
BalancedData_1000000.csv,0.97,0.964,0.97,0.851,0.907,"[[ 11085   1942]
 [   342 199658]]",0.333
BalancedData_3000000.csv,0.91,0.965,0.91,0.888,0.899,"[[ 11570   1457]
 [  1144 598856]]",1.225
BalancedData_3000000.csv,0.92,0.97,0.92,0.88,0.899,"[[ 11459   1568]
 [   996 599004]]",1.225
BalancedData_3000000.csv,0.93,0.974,0.93,0.869,0.899,"[[ 11323   1704]
 [   852 599148]]",1.225
BalancedData_3000000.csv,0.94,0.978,0.94,0.857,0.896,"[[ 11160   1867]
 [   712 599288]]",1.225
BalancedData_3000000.csv,0.95,0.981,0.95,0.846,0.895,"[[ 11015   2012]
 [   579 599421]]",1.225
BalancedData_3000000.csv,0.96,0.984,0.96,0.831,0.891,"[[ 10825   2202]
 [   451 599549]]",1.225
BalancedData_3000000.csv,0.97,0.987,0.97,0.813,0.885,"[[ 10593   2434]
 [   327 599673]]",1.225
