feature,coef,impact
т ,4.175299486195235,positive
аг,3.956949784105834,positive
иев,3.7216974588365024,positive
ма,3.629484997118881,positive
ие,3.5426726732764533,positive
аев,3.458313799680564,positive
ае,3.4199458888260588,positive
ат ,3.314838601856677,positive
хан,3.2989532471918155,positive
аб,3.279603998102893,positive
дж,3.183716934073232,positive
али,3.178331411768791,positive
мед,3.1256123044680653,positive
ам,3.0617668354704315,positive
дин,3.050686090880416,positive
ами,3.035251739059102,positive
ул,2.981875152230726,positive
дов,2.9698909759913406,positive
му,2.8175250657639523,positive
за,2.804771910562353,positive
су,2.6765752409550703,positive
гом,2.6296544644755993,positive
маг,2.614186494686941,positive
аго,2.583983907845532,positive
оме,2.575850273473699,positive
иб,2.554141863273787,positive
ом,2.509434133454664,positive
еко,2.45057351888684,positive
ме,2.420004346486339,positive
лие,2.3987137026661616,positive
ов,2.288552223743891,positive
бек,2.2753090913713683,positive
ед,2.2563032273150427,positive
в ,2.254256181083456,positive
ба,2.2460721402095127,positive
 ш,2.178468946544622,positive
 са,2.1539741696313355,positive
га,2.1364947837220285,positive
адж,2.1278074839086867,positive
гас,2.1222412886181643,positive
ва ,2.095728263615804,positive
ус,2.087934690889501,positive
сул,2.0563571546318404,positive
аро,2.055112272269317,positive
джи,2.006764540155586,positive
ат,2.004611205758647,positive
жа,2.002082956854904,positive
 за,1.9863430948177976,positive
аги,1.9792669615646068,positive
гад,1.977298819805084,positive
ула,1.96600408189389,positive
уд,1.9432664971118268,positive
 ис,1.9223782857434601,positive
ят ,1.9076739200194353,positive
жи,1.8873445847319223,positive
рб,1.8802994614570443,positive
ур,1.8639133821393055,positive
ша,1.8612734954787102,positive
 з,1.841748601490529,positive
ги,1.8288393425050802,positive
ад,1.8202514256866567,positive
ило,1.8176547002046497,positive
ев ,1.8165308823139181,positive
бду,1.8152820187248964,positive
ият,1.799490336848621,positive
 му,1.7673122758720894,positive
ас,1.7654043994645072,positive
са,1.7569968996984813,positive
би,1.7564146865159933,positive
бе,1.7546279290454607,positive
ано,1.7291024671949105,positive
