feature,coef,impact
хан,5.318948790056966,positive
т ,5.178227373658905,positive
иев,4.660232952143298,positive
аг,4.625052223445708,positive
аев,4.499316892075166,positive
ами,4.339583426697428,positive
али,4.334882479882252,positive
ае,4.29061441883033,positive
дин,4.2543061528142765,positive
ие,4.180546966328079,positive
ат ,4.150743866837685,positive
мед,4.073060799322674,positive
гас,3.945841555712593,positive
ма,3.829300892780655,positive
аб,3.7191434444802787,positive
су,3.6266990054407096,positive
еко,3.5132042855340724,positive
гом,3.4873789056944324,positive
дов,3.439155029956943,positive
дж,3.433761699660947,positive
иб,3.373736293919125,positive
оме,3.372645406112096,positive
сул,3.2380989552174877,positive
му,3.2335919077738495,positive
аго,3.22246820388804,positive
ам,3.2097193334505802,positive
маг,3.173826447900237,positive
аро,3.122756173080586,positive
 ом,3.0900439267087974,positive
ул,3.0751697593684857,positive
ят ,3.072760072205965,positive
ула,3.0532668878058598,positive
ом,2.9931021434777296,positive
ило,2.9497963432002816,positive
гад,2.9380293906792696,positive
ва ,2.922916552163718,positive
за,2.884367607219039,positive
бек,2.8337203886778157,positive
ият,2.8292811709928842,positive
лие,2.8199365222385255,positive
 за,2.793292313333531,positive
асу,2.7820832103077344,positive
ме,2.769317846407373,positive
уд,2.7001895091162744,positive
 ис,2.6835084529817337,positive
ов,2.6788917682930156,positive
уди,2.6276089336068864,positive
 ш,2.624195394057225,positive
сма,2.530746816380108,positive
джи,2.5293699721391953,positive
адж,2.4953980786999694,positive
 са,2.455222054029846,positive
зан,2.444527846553958,positive
урб,2.4395574341404616,positive
ази,2.4185200930527455,positive
 му,2.396921504323064,positive
ас,2.376369483785347,positive
аса,2.3724799861697723,positive
в ,2.367798286681597,positive
кер,2.366857344260867,positive
ьяс,2.3540410127297893,positive
в з,2.339138205623943,positive
осм,2.3387393414354896,positive
идр,2.330445734663081,positive
га,2.323803282170585,positive
аж,2.3204880686858433,positive
мус,2.319574958193166,positive
аги,2.3096714740206483,positive
из,2.2933050067431737,positive
сае,2.2921183478332154,positive
бду,2.272435507995402,positive
ано,2.255925993906451,positive
рб,2.2521105864307303,positive
лла,2.2308439102380193,positive
джа,2.229920625460406,positive
бан,2.2204970354860003,positive
ус,2.2193141500835196,positive
 з,2.203244244201783,positive
ака,2.1897732830649357,positive
йн,2.172720925441268,positive
жа,2.170616426369068,positive
има,2.1492376602125227,positive
а ш,2.1288007013190304,positive
ят,2.1252903807720434,positive
уев,2.114682233167374,positive
 ша,2.11279181555954,positive
маз,2.1092149086273855,positive
ейн,2.0978628024928785,positive
бег,2.0971415103943065,positive
ад,2.0582488611871628,positive
ед,2.056819617358336,positive
ба,2.0505303625124793,positive
ги,2.0474695223954043,positive
ум,2.0365472211647417,positive
ших,2.0352135995524754,positive
ати,2.031203393640335,positive
