feature,coef,impact
хан,7.491803117167995,positive
гас,7.36731752013775,positive
аев,6.505425029068405,positive
 ом,6.300446715852871,positive
дин,6.128923527521112,positive
иев,5.948941375307904,positive
мед,5.876526715581578,positive
ае,5.549958783985142,positive
ами,5.43766154798293,positive
ят ,5.357628262024679,positive
али,5.341318085372843,positive
ат ,5.166846697833707,positive
асу,5.122629114162225,positive
еко,5.095410355110519,positive
т ,4.980764864958024,positive
гом,4.939191382513205,positive
гад,4.93400361561594,positive
ьяс,4.886889397481528,positive
зан,4.7549777287022135,positive
ило,4.731667512413357,positive
иб,4.717496850383206,positive
оме,4.6579425955519485,positive
ома,4.5940710207686495,positive
сул,4.5719217171034074,positive
ва ,4.541511442929949,positive
в з,4.477254094962347,positive
дов,4.465664880744599,positive
ият,4.438980932138395,positive
ших,4.432011492488161,positive
аг,4.401216540933657,positive
ов,4.374536458654178,positive
ула,4.36963214875279,positive
ие,4.3600388233888685,positive
аро,4.3542649545277845,positive
осм,4.332604396530714,positive
лла,4.185277554699362,positive
бег,4.1801751301731045,positive
идр,4.168653288027201,positive
ази,4.108448934490488,positive
бду,4.1063689987445615,positive
аго,4.080179002155763,positive
аб,4.055261377911534,positive
 за,3.9963530031532013,positive
су,3.961900755951141,positive
маг,3.8920090645208205,positive
кер,3.8780066103576707,positive
 ис,3.8143267674550625,positive
гю,3.7909938624237087,positive
лие,3.785351246216268,positive
урб,3.778544124995947,positive
бов,3.7698579030709283,positive
ам,3.718009091718348,positive
ом,3.706823377581551,positive
ирз,3.6957472575204715,positive
уев,3.642207876873069,positive
рсл,3.614777872637786,positive
маз,3.5953256762132684,positive
маи,3.5529933903430746,positive
ма,3.5525154543773385,positive
аж,3.5389942728283077,positive
джи,3.5327769030474125,positive
 дж,3.5215394129943887,positive
шах,3.508975380972597,positive
гам,3.48013845268642,positive
мус,3.4707684766838343,positive
дж,3.4570004460094266,positive
утд,3.455399700132079,positive
нап,3.4466798669043635,positive
нар,3.445084804377403,positive
уд,3.4359920275163596,positive
гюл,3.4313518780797887,positive
из,3.4184070549409658,positive
 им,3.369020522259949,positive
зва,3.3660543325644583,positive
нав,3.365628047855017,positive
му,3.35700675715758,positive
в л,3.338381367358502,positive
изв,3.328985622717824,positive
ака,3.3287681793064756,positive
рту,3.311394078423306,positive
юсу,3.2923312501827016,positive
а ш,3.2853189865771943,positive
уди,3.264566739881759,positive
яс,3.263515079196894,positive
бол,3.211099910770773,positive
бан,3.203382134837772,positive
сен,3.201536619704838,positive
ад ,3.1999778083282746,positive
сма,3.1915684853253277,positive
ьяе,3.1903099093976928,positive
ова,3.1840943891673055,positive
бек,3.181633627996897,positive
уе,3.1764550766036224,positive
лам,3.1762243715150373,positive
ажу,3.1757652253301174,positive
дир,3.160110858975046,positive
дур,3.1349775556091517,positive
ати,3.125247616984155,positive
 му,3.123352188544725,positive
ас,3.121935862880129,positive
алх,3.1217247459556026,positive
сае,3.119469889460594,positive
зое,3.110739545584357,positive
гит,3.104172509224439,positive
в ,3.0918067606957433,positive
амм,3.083675046177451,positive
ям ,3.0690611221475566,positive
гим,3.057606772801623,positive
ру,3.039281835119822,positive
джа,3.037251359742431,positive
 гю,3.02852083895316,positive
в г,3.0244076495864465,positive
каи,3.0192598365514667,positive
иял,3.0064985712312433,positive
 ч,2.996372034731027,positive
лик,2.9643307641775496,positive
ано,2.963043013351238,positive
лей,2.9624489999632986,positive
ере,2.9577883387944808,positive
ап,2.9533642482425106,positive
кур,2.9334384898204937,positive
 зу,2.930621798306483,positive
 ку,2.911287173417201,positive
хал,2.8958471897161084,positive
ити,2.8753631057981908,positive
гус,2.8722999099834,positive
аги,2.8713365237374564,positive
ада,2.867428187277671,positive
ейн,2.86542147418959,positive
хач,2.8622328099949685,positive
рха,2.8413622159835255,positive
риз,2.83042284412533,positive
апи,2.828118461429484,positive
пат,2.799408257139233,positive
диб,2.79834364968761,positive
хиз,2.795756348355379,positive
ум,2.7943125355784293,positive
мис,2.7916658033035118,positive
хб,2.7888827245177916,positive
ахб,2.7553237691636747,positive
ута,2.751806789101995,positive
суп,2.7508627954685494,positive
ад,2.7416030252832444,positive
жаб,2.736996236008659,positive
 ка,2.736947385242576,positive
ме,2.729766229826729,positive
йн,2.727865810610853,positive
аир,2.7227813439696535,positive
мае,2.701814552390232,positive
а ж,2.6956378175192306,positive
има,2.695339745711935,positive
ке,2.692550014360411,positive
сли,2.6842013068241197,positive
хта,2.6808221169246784,positive
усе,2.6767165734917877,positive
гер,2.6753350765970567,positive
саи,2.658447756876337,positive
ало,2.6420047561731534,positive
сак,2.631809556168999,positive
ср,2.6177779959850285,positive
укм,2.6021631263365834,positive
 ша,2.6012747249394663,positive
лае,2.5915304414432327,positive
ар ,2.5913792616257303,positive
 ш,2.5797251818290183,positive
ибе,2.5793934217781818,positive
арс,2.5711962068773575,positive
гир,2.5637192843678767,positive
йно,2.5544950938331983,positive
ко ,2.5493529201759806,positive
аву,2.5296148418113615,positive
дул,2.5232666176663345,positive
 ид,2.5160143497707286,positive
аба,2.5136707908736495,positive
мин,2.5136429257556885,positive
зул,2.5114901327417285,positive
асх,2.5058566550067702,positive
лта,2.481772251499893,positive
ди,2.475675028685986,positive
ов ,2.4681745709029674,positive
таг,2.4567074577729593,positive
еми,2.4558722654741167,positive
сир,2.453208895769956,positive
хав,2.4370724912492316,positive
идо,2.4349411638644134,positive
рба,2.4336222675298784,positive
аи,2.432187618342813,positive
раг,2.4303730235257333,positive
 на,2.426612054536693,positive
йг,2.414400383777718,positive
га,2.4104663192749936,positive
аса,2.406279233271151,positive
фае,2.4062763802210854,positive
вуд,2.406009482070751,positive
ум ,2.40077939410441,positive
йла,2.3967019460664543,positive
ул,2.3912105358420583,positive
 ат,2.382688802265941,positive
хов,2.3809926423402725,positive
бий,2.3807196088008773,positive
муд,2.3757181964316674,positive
ат,2.3728502716160285,positive
мза,2.366305531026153,positive
эс,2.3567165881011074,positive
 те,2.3545884840300246,positive
жие,2.3470297290684217,positive
бак,2.3469515791319067,positive
хме,2.3394292150498135,positive
 з,2.3385536128639712,positive
зух,2.336730300554878,positive
аид,2.329676543166259,positive
хба,2.32351842150376,positive
адж,2.319819975587544,positive
шам,2.3105409159717563,positive
яхь,2.3087991820715725,positive
 аи,2.308085369708322,positive
ясо,2.304867562090506,positive
айг,2.2973325655234533,positive
алм,2.293117278859645,positive
лга,2.2918758228622784,positive
ач,2.2911180050455164,positive
 ра,2.287165430776317,positive
мут,2.2737172677526614,positive
ид,2.2704276191208836,positive
рун,2.268979668937694,positive
сеф,2.256093886985455,positive
либ,2.2495695597634096,positive
шуа,2.2487359814606154,positive
баг,2.2432221241949435,positive
ват,2.2374894869841273,positive
ят,2.223170137810586,positive
хья,2.2183525018300507,positive
 гу,2.21776335944778,positive
кад,2.2169119920505937,positive
в н,2.2153408821241585,positive
мха,2.2144858170199333,positive
шие,2.2074796595297115,positive
сел,2.2063925526586248,positive
ьям,2.188609569265631,positive
лат,2.1850558211740547,positive
ана,2.1818159707453826,positive
за,2.1787790251675054,positive
ева,2.1762204259711084,positive
 са,2.171810894468326,positive
фик,2.171416964028113,positive
ги,2.171358593050281,positive
сал,2.16947249306377,positive
би,2.1629301627099187,positive
ейл,2.152618309353617,positive
бад,2.14507000995455,positive
ару,2.139171935607892,positive
хь,2.1304127329404823,positive
айи,2.1175426947046687,positive
эди,2.1150455033471522,positive
изр,2.1095399741640017,positive
ади,2.1088517208830284,positive
эми,2.1088012040506334,positive
 ба,2.1051330860657234,positive
уп,2.1035658340236862,positive
нус,2.09443803008537,positive
тим,2.094116202583524,positive
 ме,2.092956607470675,positive
 ум,2.09152467024579,positive
ши,2.089182823416661,positive
рб,2.086767537914409,positive
йб,2.066459305042555,positive
жут,2.0647627416593313,positive
аюб,2.061148797242457,positive
лах,2.0590679981253177,positive
ейх,2.0562713953457115,positive
 ам,2.0548740584321985,positive
раж,2.0470492249998036,positive
а х,2.040622158807949,positive
абу,2.0403370724935863,positive
жат,2.0302592133998782,positive
йша,2.028978436712598,positive
узо,2.0240928530474176,positive
ай,2.0159701625577675,positive
айш,2.0146627955086256,positive
юну,2.0111942089975465,positive
иср,2.008746286828565,positive
хад,2.007280768260123,positive
тае,2.006901984814886,positive
кбе,2.0037702309805647,positive
рип,2.001071160792817,positive
олт,2.0002814085461624,positive
иве,1.9948567342445702,positive
фия,1.9849938973750336,positive
уху,1.9849844304305515,positive
киф,1.9840075440235792,positive
 ши,1.9785308443332386,positive
к и,1.9767471107709176,positive
ери,1.974560920218861,positive
ну,1.9699842541001298,positive
енд,1.9656042637187559,positive
айп,1.9655268515286486,positive
рсе,1.9638898994109955,positive
йхо,1.9599497212136725,positive
анб,1.9552811333159856,positive
ибо,1.94665301416598,positive
 жа,1.9452986642283867,positive
угу,1.944843645880081,positive
ерл,1.933637898273009,positive
ут,1.926920402796719,positive
ву,1.924196478625079,positive
йи,1.923877184452038,positive
рз,1.9233155499754622,positive
дри,1.9212120225974465,positive
бу,1.9174335125735635,positive
ьби,1.91666251359918,positive
яв,1.9058180334656887,positive
сб,1.905697473432382,positive
ауд,1.898066481928477,positive
яра,1.8967925361403057,positive
алг,1.8895287300301982,positive
йп,1.8866986583915248,positive
апа,1.8833407492821441,positive
йбу,1.876621606628598,positive
хае,1.8759484571754932,positive
ям,1.8755001936028717,positive
йги,1.8745793433191928,positive
ния,1.8564592234637207,positive
йпу,1.8518368545580843,positive
ус,1.850670043828801,positive
ров,1.8503619861797462,positive
т в,1.848984347488194,positive
ыро,1.8474905428235007,positive
эль,1.8465059691475252,positive
лих,1.8464131260543164,positive
мил,1.8366654904220598,positive
м г,1.832634940182458,positive
ев ,1.8290481810191492,positive
в о,1.8238474948597678,positive
ала,1.8197492219686018,positive
изи,1.8168336356611916,positive
сын,1.8156575157213943,positive
вру,1.8116922975192553,positive
ир,1.8115257710626518,positive
зу,1.8114657508035967,positive
зв,1.80963365205127,positive
пие,1.8030983702576842,positive
нва,1.7998635856204537,positive
дая,1.7988116613530685,positive
паш,1.793599785581691,positive
 юс,1.7920974723894882,positive
шир,1.7881973278656422,positive
 бу,1.7871525707888782,positive
овн,1.7864982832311493,positive
зие,1.7862071400402681,positive
сру,1.784047647100609,positive
жа,1.7804984035639182,positive
кае,1.7798538854943342,positive
нух,1.7760936684053559,positive
 ос,1.775608946410378,positive
тай,1.775353708185424,positive
ри ,1.7735681983742924,positive
эл,1.7645129549304346,positive
ша ,1.7644005378608552,positive
урт,1.7551943860745738,positive
рзе,1.7530254154962581,positive
лу,1.7507514806209152,positive
мал,1.750632037442507,positive
ето,1.7490019817340172,positive
ирб,1.7480215813848243,positive
ял ,1.7398681149264927,positive
хум,1.7370964089192478,positive
рад,1.7327735131321622,positive
муг,1.7315305351928107,positive
ижа,1.728303057807655,positive
аз,1.7257717780671449,positive
 аб,1.7189704981013048,positive
чие,1.7154253710033998,positive
утт,1.712506402721817,positive
в к,1.7123399486283553,positive
зри,1.7107789505423734,positive
пир,1.7077561602460691,positive
або,1.707710561372397,positive
ан ,1.7048746859593786,positive
ино,1.7035865783630109,positive
а б,1.7030854848173238,positive
сха,1.6949490749031741,positive
да,1.6911593771072528,positive
йна,1.6883238793682307,positive
лук,1.6879165791921662,positive
тар,1.6876775089692115,positive
рог,1.6845737397846168,positive
нв,1.6810960081531716,positive
ема,1.6796365354048237,positive
тин,1.67692680707184,positive
айб,1.6746765651888487,positive
яев,1.6737210467192645,positive
ухт,1.6709795957928704,positive
а у,1.6687913003210528,positive
ач ,1.6666193162776213,positive
яе,1.6658478295035606,positive
эф,1.6602316982128102,positive
руд,1.6586756185088298,positive
йш,1.657894553481643,positive
ллу,1.655047198311963,positive
ейр,1.6508103908710265,positive
даи,1.6492896859470112,positive
ияв,1.6472231861329567,positive
и ,1.644349993317673,positive
д ,1.6410380705806222,positive
ады,1.6399870530593792,positive
а ч,1.633876776827081,positive
рс,1.629854630956532,positive
дер,1.624610967602053,positive
юс,1.6234643853733162,positive
рим,1.6182838845078436,positive
йбо,1.6158143229439774,positive
ума,1.6144042271874346,positive
улк,1.6138271234994117,positive
асл,1.6136908647390993,positive
лау,1.61308433003443,positive
ярм,1.6123881951173735,positive
амз,1.6047214917139168,positive
дуе,1.5960554966930907,positive
пи,1.5957120491837553,positive
зал,1.5905729795362475,positive
иби,1.5861868706971431,positive
ашу,1.5858703380101273,positive
зих,1.5845781198564577,positive
бат,1.584013744927947,positive
хое,1.5830178066712424,positive
йзу,1.5825969763784729,positive
таж,1.582445481462087,positive
аиб,1.5823048809889793,positive
имо,1.5801658477988583,positive
ифр,1.5801439185112764,positive
нди,1.577593448374909,positive
аше,1.5772716212283449,positive
олл,1.5761688738605026,positive
лг,1.575838973661992,positive
зия,1.57493035422749,positive
кар,1.5731769684209587,positive
йх,1.5698396333621423,positive
вкр,1.5695086684808113,positive
сх,1.5633301426808648,positive
рив,1.5606695412305573,positive
мов,1.5600452398990048,positive
ал,1.5552690582382176,positive
цах,1.5538163673446959,positive
тыр,1.5497162638601398,positive
мик,1.5491976593939814,positive
фер,1.5461164964162877,positive
ев,1.5445016524884392,positive
ияу,1.541818703617952,positive
наб,1.5346231657473288,positive
шей,1.5346034829644393,positive
шур,1.5299300844851134,positive
ови,1.5293673123801754,positive
иям,1.5272940239136994,positive
 пи,1.5253899073368595,positive
упа,1.525295729612354,positive
шде,1.5230594454627755,positive
 э,1.5220132820402525,positive
сре,1.5212464103053238,positive
лал,1.5173661610589968,positive
 би,1.5142334588665647,positive
т а,1.508214438783962,positive
зим,1.5033410614664808,positive
нах,1.497477469240101,positive
эфе,1.4966768317450783,positive
аша,1.493873762744513,positive
еро,1.4808424918691634,positive
фра,1.4784627242400405,positive
ая ,1.4784189047942242,positive
рас,1.4781353991493036,positive
ах,1.4777424440364466,positive
ун ,1.4756190543600918,positive
рбе,1.462767761807814,positive
нх,1.45995452489925,positive
яс ,1.4592687040586445,positive
ур,1.4582538423795346,positive
имб,1.456067305042967,positive
иро,1.4541023221872642,positive
дад,1.44842131428676,positive
ис,1.436344406418079,positive
 из,1.4315900670758546,positive
рчи,1.4260123809589396,positive
чуп,1.4244079064656459,positive
ай ,1.4211454426580503,positive
лим,1.419488826868695,positive
жи,1.418955933724122,positive
урз,1.4186545846513867,positive
дау,1.4181336745302406,positive
 ах,1.4129982612586471,positive
зор,1.4088742433485777,positive
