File,Best Threshold,Precision,Recall,F1,Confusion Matrix,Feature,Training Time (m)
BalancedData_50000.csv,0.732,0.99,0.95,0.97,"[[13259   692]
 [  135  9865]]",11164,0.03
BalancedData_100000.csv,0.756,0.985,0.95,0.967,"[[13258   693]
 [  204 19796]]",12152,0.047
BalancedData_200000.csv,0.788,0.973,0.95,0.962,"[[13260   691]
 [  363 39637]]",13283,0.09
BalancedData_500000.csv,0.824,0.952,0.95,0.951,"[[13254   697]
 [  672 99328]]",15221,0.167
BalancedData_1000000.csv,0.847,0.921,0.95,0.935,"[[ 13254    697]
 [  1137 198863]]",16943,0.331
BalancedData_3000000.csv,0.891,0.841,0.95,0.893,"[[ 13255    696]
 [  2497 597503]]",20292,3.779
