File,Best Threshold,Precision,Recall,F1,Confusion Matrix,Feature,Training Time (m)
BalancedData_50000.csv,0.698,0.989,0.951,0.969,"[[11846   611]
 [  135  9865]]",11045,0.03
BalancedData_100000.csv,0.725,0.977,0.95,0.963,"[[11837   620]
 [  284 19716]]",12070,0.04
BalancedData_200000.csv,0.758,0.965,0.95,0.958,"[[11840   617]
 [  429 39571]]",13210,0.068
BalancedData_500000.csv,0.807,0.933,0.95,0.941,"[[11835   622]
 [  853 99147]]",15292,0.167
BalancedData_1000000.csv,0.826,0.889,0.95,0.918,"[[ 11835    622]
 [  1484 198516]]",17021,0.332
BalancedData_3000000.csv,0.871,0.775,0.95,0.854,"[[ 11835    622]
 [  3429 596571]]",20233,1.299
