feature,coef,impact
ма,3.453209334254153,positive
аг,3.3115265301700747,positive
т ,3.2528394151581943,positive
иев,3.2447082815133435,positive
ие,3.1210020023480043,positive
аб,2.9729179803517916,positive
аев,2.9323857505781827,positive
ае,2.8751831818469933,positive
ам,2.852990571673908,positive
али,2.727196775172322,positive
дж,2.7174678526354863,positive
мед,2.6767652873770533,positive
ами,2.6489942286830392,positive
су,2.5547396126148323,positive
дов,2.514116406494124,positive
ул,2.512678963200475,positive
за,2.4586156984425305,positive
ат ,2.4511719807805648,positive
му,2.4481511344759563,positive
хан,2.4350463131594333,positive
дин,2.4343544633059633,positive
ме,2.274710683373263,positive
ом,2.21149993999771,positive
маг,2.194790883622165,positive
гом,2.1868602736625857,positive
оме,2.1747206240802464,positive
ба,2.1746261799619084,positive
аго,2.1664493569316434,positive
в ,2.1438976628342377,positive
ов,2.0694236925841714,positive
ед,2.023013253446047,positive
иб,2.0165623916115525,positive
бек,1.9775686674199506,positive
еко,1.9633144682405481,positive
га,1.9532373545769044,positive
лие,1.8495219060460657,positive
ва ,1.8197146239585718,positive
аро,1.7917834582443266,positive
сул,1.783244440263039,positive
ус,1.7507556891610934,positive
жа,1.7276188614979209,positive
ат,1.6947560962491095,positive
ша,1.6938034125172035,positive
 ш,1.6916131649526809,positive
джи,1.6846055613654611,positive
адж,1.6818557747536285,positive
ула,1.674674346936617,positive
ур,1.672546372444792,positive
са,1.6679365559637551,positive
ев ,1.65047043938981,positive
гад,1.650112374463995,positive
уд,1.6491665794985628,positive
бе,1.6252140616833644,positive
ад,1.6199465385390044,positive
гас,1.618031990971932,positive
аги,1.6138657036834907,positive
ят ,1.6020505101711187,positive
до,1.5890079025229442,positive
жи,1.5691898509995104,positive
 ис,1.5592325384228523,positive
ов ,1.5332473134355826,positive
 за,1.532785432509307,positive
ият,1.532586639621053,positive
би,1.5219088629428803,positive
аз,1.521854354955186,positive
 з,1.5192569752286524,positive
ано,1.5189611011288535,positive
ги,1.5069795690318557,positive
 са,1.499595545030617,positive
ди,1.4988396941626605,positive
ас,1.4795679156859836,positive
ра,1.4790684151329072,positive
бду,1.4750515238410056,positive
ах,1.471424838628395,positive
джа,1.4674162681705931,positive
ило,1.4631398539377864,positive
ум,1.446604534983021,positive
уди,1.4462211137549845,positive
 му,1.4378726034051699,positive
аса,1.4326419183785855,positive
сма,1.4237844362481655,positive
ир,1.4163713767295987,positive
едо,1.4003282112114592,positive
из,1.3982092991516044,positive
ят,1.3736808009308616,positive
 ка,1.36589983680707,positive
рб,1.3489291846979772,positive
ид,1.3244943209761215,positive
ут,1.3208722443003722,positive
ева,1.314121548850306,positive
бан,1.312116628573621,positive
ази,1.3100733588698328,positive
дул,1.309451457833072,positive
ка,1.2921570888404745,positive
има,1.2797522762384266,positive
 ом,1.2769600477099183,positive
абд,1.271130641350604,positive
в з,1.264142358566363,positive
бд,1.2561388301527734,positive
ха,1.2353931469460604,positive
асу,1.2338320710838326,positive
ру,1.2249566904696927,positive
 дж,1.2177334037861456,positive
зан,1.2063044170131676,positive
урб,1.2032371695488826,positive
арс,1.1659154099521523,positive
ду,1.1653801038168803,positive
 ша,1.162533846739761,positive
 аб,1.1570661153064845,positive
мил,1.1556254129889727,positive
ал,1.1510011360450534,positive
сае,1.1440091496057068,positive
см,1.1402020362702132,positive
мус,1.129982566542791,positive
ова,1.1185389366215934,positive
ака,1.1026974044605011,positive
жие,1.0916913227821485,positive
аж,1.0885956046627006,positive
д ,1.0839473760286638,positive
йн,1.0826384511819223,positive
яс,1.0716946231501234,positive
маз,1.0695443843291457,positive
 ба,1.062689373450663,positive
ьяс,1.0615777361702332,positive
го,1.0603668163867224,positive
кер,1.0602260845864082,positive
рз,1.0487557716060367,positive
хал,1.0436160124807308,positive
ке,1.0212928339714167,positive
ада,1.0189036330469214,positive
ати,1.0187044839289239,positive
усе,1.016030340522033,positive
ли,1.0124072903262726,positive
ейн,1.0081418540865104,positive
да,1.0057530112888933,positive
шам,1.0011249062141454,positive
рс,0.9967390617203599,positive
ино,0.9938460271934987,positive
гим,0.9927174671781234,positive
кур,0.9922902057610672,positive
