File,Best Threshold,Precision,Recall,F1,Confusion Matrix,Feature,Training Time (m)
BalancedData_50000.csv,0.703,0.988,0.95,0.969,"[[12381   646]
 [  150  9850]]",11097,0.029
BalancedData_100000.csv,0.74,0.982,0.95,0.966,"[[12378   649]
 [  225 19775]]",12062,0.044
BalancedData_200000.csv,0.769,0.966,0.95,0.958,"[[12376   651]
 [  431 39569]]",13248,0.067
BalancedData_500000.csv,0.824,0.943,0.95,0.947,"[[12377   650]
 [  745 99255]]",15214,0.161
BalancedData_1000000.csv,0.838,0.904,0.95,0.926,"[[ 12376    651]
 [  1321 198679]]",16949,0.319
BalancedData_3000000.csv,0.872,0.8,0.95,0.869,"[[ 12376    651]
 [  3087 596913]]",20236,1.254
